id,trade_date,setup_type,fired_at,actual_pnl,prior_id,prior_resolved_at
81318,2026-07-30,GLOBEX_VWAP_MAGNET_SHORT,2026-07-30T15:54:00.000Z,38,81303,2026-07-30T15:52:00.000Z
81427,2026-07-30,GLOBEX_VWAP_MAGNET_SHORT,2026-07-30T16:30:00.000Z,38,81409,2026-07-30T16:29:00.000Z
81479,2026-07-30,ZONE_EDGE_FADE,2026-07-30T16:44:00.000Z,-4,81471,2026-07-30T16:43:00.000Z
82134,2026-07-30,PM_LOW_FADE_SHORT,2026-07-30T20:00:19.983Z,-172,81897,2026-07-30T20:00:04.463Z
82195,2026-07-30,VWAP_MAGNET_SHORT,2026-07-30T20:12:00.000Z,-62,82155,2026-07-30T20:11:00.000Z
82310,2026-07-30,VWAP_MAGNET_SHORT,2026-07-30T20:36:00.000Z,-3,82295,2026-07-30T20:35:00.000Z
82311,2026-07-30,GLOBEX_VWAP_MAGNET_SHORT,2026-07-30T20:36:00.000Z,38,82296,2026-07-30T20:35:00.000Z
83432,2026-07-31,STOP_SWEEP_LONG,2026-07-31T18:48:00.000Z,-58.5,83347,2026-07-31T18:47:00.000Z
83635,2026-07-31,FAILED_AUCTION_LONG,2026-07-31T20:00:00.000Z,-82,83628,2026-07-31T19:59:00.000Z
83632,2026-07-31,IB_BEARISH,2026-07-31T20:00:00.000Z,88,83626,2026-07-31T19:59:00.000Z
83922,2026-08-03,GLOBEX_VWAP_FADE_LONG,2026-08-02T23:50:15.387Z,-168,83668,2026-07-31T20:58:00.000Z
84119,2026-08-03,GLOBEX_VWAP_MAGNET_SHORT,2026-08-03T15:20:00.000Z,38,83985,2026-08-03T15:12:00.000Z
84639,2026-08-03,GLOBEX_VWAP_MAGNET_SHORT,2026-08-03T17:11:00.000Z,-60,84308,2026-08-03T17:10:00.000Z
84735,2026-08-03,VWAP_MAGNET_SHORT,2026-08-03T17:28:00.000Z,-60,84638,2026-08-03T17:27:00.000Z
84736,2026-08-03,GLOBEX_VWAP_MAGNET_SHORT,2026-08-03T17:28:00.000Z,-60,84639,2026-08-03T17:27:00.000Z
85877,2026-08-04,FLOOR_R2_FADE_SHORT,2026-08-04T13:38:00.825Z,-78,85873,2026-08-04T13:36:00.000Z
85901,2026-08-04,IB_HIGH_FADE_SHORT,2026-08-04T14:46:28.072Z,-68,85890,2026-08-04T14:37:00.000Z
85937,2026-08-04,FLOOR_R3_FADE_SHORT,2026-08-04T17:12:33.779Z,-30,85927,2026-08-04T17:11:00.000Z
85960,2026-08-04,FLOOR_R3_FADE_LONG,2026-08-04T20:19:14.308Z,80,85940,2026-08-04T17:37:00.000Z
86388,2026-08-05,ONL_FADE_SHORT,2026-08-05T18:06:24.867Z,118,86340,2026-08-05T18:04:00.000Z
86471,2026-08-05,ONL_FADE_SHORT,2026-08-05T19:06:59.000Z,118,86388,2026-08-05T19:00:00.000Z
86521,2026-08-05,CAM_S3_FADE_LONG,2026-08-05T20:00:37.023Z,-140,86516,2026-08-05T20:00:24.262Z
87220,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T15:54:00.000Z,78,87164,2026-08-06T15:46:00.000Z
87295,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T16:08:00.000Z,78,87220,2026-08-06T16:01:00.000Z
87487,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T16:52:00.000Z,-68,87436,2026-08-06T16:44:00.000Z
88049,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T18:34:00.000Z,-68,87615,2026-08-06T18:16:00.000Z
88277,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T19:14:00.000Z,78,88049,2026-08-06T19:08:00.000Z
88278,2026-08-06,ZONE_EDGE_FADE,2026-08-06T19:14:00.000Z,-66,88059,2026-08-06T19:07:20.163Z
88390,2026-08-06,GLOBEX_VWAP_FADE_SHORT,2026-08-06T19:32:00.000Z,78,88277,2026-08-06T19:30:00.000Z
88497,2026-08-06,IB_BULLISH,2026-08-06T19:55:00.000Z,-20,88480,2026-08-06T19:54:00.000Z
88518,2026-08-06,PD2_VAL_FADE_SHORT,2026-08-06T20:02:19.204Z,82,88496,2026-08-06T20:00:26.738Z
88675,2026-08-07,OR5_MID_FADE_LONG,2026-08-07T13:42:16.003Z,68,88674,2026-08-07T13:41:00.000Z
89086,2026-08-07,IB_BEARISH,2026-08-07T16:35:00.000Z,98,89066,2026-08-07T16:34:00.000Z
89450,2026-08-07,GLOBEX_VWAP_FADE_SHORT,2026-08-07T18:50:00.000Z,-68,89277,2026-08-07T18:44:00.000Z
89718,2026-08-10,VALUE_AREA_RESPONSIVE_SHORT,2026-08-10T15:13:00.000Z,72,89684,2026-08-10T15:12:00.000Z
89755,2026-08-10,STOP_SWEEP_LONG,2026-08-10T15:27:00.000Z,-56,89717,2026-08-10T15:25:00.000Z
90053,2026-08-10,C_PAIRED_LONG,2026-08-10T16:26:00.000Z,-166,89730,2026-08-10T15:45:00.000Z
90054,2026-08-10,FAILED_AUCTION_LONG,2026-08-10T16:26:00.000Z,-98,89720,2026-08-10T15:35:00.000Z
90362,2026-08-10,C_PAIRED_LONG,2026-08-10T17:35:00.000Z,-94,90053,2026-08-10T16:43:00.000Z
90363,2026-08-10,FAILED_AUCTION_LONG,2026-08-10T17:35:00.000Z,-55.5,90054,2026-08-10T16:32:00.000Z
92048,2026-08-11,STOP_SWEEP_LONG,2026-08-11T15:21:00.000Z,-74,91950,2026-08-11T15:18:00.000Z
92464,2026-08-11,FAILED_SWEEP_REVERSAL_LONG,2026-08-11T16:08:00.000Z,-136.5,92049,2026-08-11T15:58:00.000Z
92572,2026-08-11,IB_BEARISH,2026-08-11T16:26:00.000Z,99,92209,2026-08-11T16:25:00.000Z
93797,2026-08-12,OR5_LOW_FADE_SHORT,2026-08-12T13:47:52.023Z,-66,93796,2026-08-12T13:47:00.000Z
93976,2026-08-12,OR5_LOW_FADE_LONG,2026-08-12T15:07:45.935Z,-66,93952,2026-08-12T15:03:00.000Z
94649,2026-08-12,FAILED_AUCTION_LONG,2026-08-12T17:54:00.000Z,-0.5,94588,2026-08-12T17:47:03.990Z
95347,2026-08-12,ZONE_EDGE_FADE,2026-08-12T20:51:00.000Z,-4,95293,2026-08-12T20:43:00.000Z
95513,2026-08-13,IB_HIGH_FADE_LONG,2026-08-13T14:47:56.788Z,-66,95505,2026-08-13T14:45:00.000Z
95628,2026-08-13,FLOOR_R3_FADE_SHORT,2026-08-13T16:03:48.586Z,-66,95577,2026-08-13T15:52:00.000Z
95994,2026-08-13,IB_BULLISH,2026-08-13T19:01:00.000Z,-102,95779,2026-08-13T19:00:00.000Z
96675,2026-08-14,FAILED_SWEEP_REVERSAL_LONG,2026-08-14T14:29:00.000Z,-138.5,96483,2026-08-14T14:18:00.000Z
98073,2026-08-14,C_PAIRED_SHORT,2026-08-14T20:28:00.000Z,-20,97019,2026-08-14T20:00:04.829Z
98071,2026-08-14,IB_BEARISH,2026-08-14T20:28:00.000Z,-20,97107,2026-08-14T19:42:00.000Z
98330,2026-08-17,IB_BEARISH,2026-08-17T14:53:00.000Z,-104,98259,2026-08-17T14:50:00.000Z
98345,2026-08-17,PD_VAH_FADE_SHORT,2026-08-17T15:05:47.461Z,72,98337,2026-08-17T15:04:00.000Z
99716,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T19:03:17.748Z,-32,99639,2026-08-18T18:21:00.000Z
99786,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:02:10.551Z,-3.5,99716,2026-08-18T20:00:23.264Z
99791,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:05:33.149Z,-2,99786,2026-08-18T20:03:00.000Z
99792,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:08:51.873Z,8,99791,2026-08-18T20:06:00.000Z
99795,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:11:32.438Z,12.5,99792,2026-08-18T20:09:00.000Z
99803,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:17:35.906Z,2.5,99800,2026-08-18T20:16:00.000Z
99806,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:20:06.877Z,-0.5,99803,2026-08-18T20:18:00.000Z
99810,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:23:08.212Z,6,99806,2026-08-18T20:21:00.000Z
99819,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:29:32.717Z,2,99816,2026-08-18T20:28:00.000Z
99822,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:32:01.231Z,-10.5,99819,2026-08-18T20:30:00.000Z
99826,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:35:22.543Z,-6.5,99822,2026-08-18T20:33:00.000Z
99828,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:37:44.983Z,-3,99826,2026-08-18T20:36:00.000Z
99831,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:40:19.497Z,-2.5,99828,2026-08-18T20:38:00.000Z
99834,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:43:36.962Z,10.5,99831,2026-08-18T20:41:00.000Z
99838,2026-08-18,IB_LOW_FADE_SHORT,2026-08-18T20:46:20.636Z,41,99834,2026-08-18T20:44:00.000Z
99849,2026-08-18,IB_LOW_FADE_LONG,2026-08-18T20:53:59.793Z,0.5,99846,2026-08-18T20:52:00.000Z
99852,2026-08-18,IB_LOW_FADE_LONG,2026-08-18T20:56:17.355Z,8.5,99849,2026-08-18T20:54:00.000Z
99855,2026-08-18,IB_LOW_FADE_LONG,2026-08-18T20:58:28.848Z,-7.5,99852,2026-08-18T20:57:00.000Z
100042,2026-08-19,PD_VAL_FADE_LONG,2026-08-19T15:53:23.048Z,72,100010,2026-08-19T15:49:00.000Z
100413,2026-08-19,STOP_SWEEP_LONG,2026-08-19T18:25:00.000Z,58.5,100369,2026-08-19T18:17:00.000Z
100772,2026-08-19,STOP_SWEEP_LONG,2026-08-19T20:07:00.000Z,-3,100768,2026-08-19T20:06:00.000Z
100773,2026-08-19,C_PAIRED_SHORT,2026-08-19T20:07:00.000Z,-1,100769,2026-08-19T20:06:00.000Z
100771,2026-08-19,IB_BEARISH,2026-08-19T20:07:00.000Z,-1,100767,2026-08-19T20:06:00.000Z
100815,2026-08-19,STOP_SWEEP_LONG,2026-08-19T20:18:00.000Z,-0.5,100812,2026-08-19T20:17:00.000Z
100816,2026-08-19,C_PAIRED_SHORT,2026-08-19T20:18:00.000Z,-4,100813,2026-08-19T20:17:00.000Z
100814,2026-08-19,IB_BEARISH,2026-08-19T20:18:00.000Z,-4,100811,2026-08-19T20:17:00.000Z
100867,2026-08-19,IB_BEARISH,2026-08-19T20:32:00.000Z,-12,100862,2026-08-19T20:31:00.000Z
100869,2026-08-19,C_PAIRED_SHORT,2026-08-19T20:32:00.000Z,-12,100864,2026-08-19T20:31:00.000Z
100868,2026-08-19,STOP_SWEEP_LONG,2026-08-19T20:32:00.000Z,8,100863,2026-08-19T20:31:00.000Z
100980,2026-08-19,IB_MID_SCALP_FADE_SHORT,2026-08-19T20:58:38.690Z,-17,100966,2026-08-19T20:57:00.000Z
101025,2026-08-20,PD_LOW_FADE_LONG,2026-08-20T13:51:28.938Z,-66,101021,2026-08-20T13:50:00.000Z
102178,2026-08-20,IB_BEARISH,2026-08-20T20:04:00.000Z,15.5,102173,2026-08-20T20:03:00.000Z
102221,2026-08-20,BRACKET_BREAKOUT_SHORT,2026-08-20T20:19:00.000Z,-1,102219,2026-08-20T20:18:00.000Z
102220,2026-08-20,IB_BEARISH,2026-08-20T20:19:00.000Z,-6,102218,2026-08-20T20:18:00.000Z
102257,2026-08-20,IB_BEARISH,2026-08-20T20:32:00.000Z,-11,102253,2026-08-20T20:31:00.000Z
102295,2026-08-20,IB_BEARISH,2026-08-20T20:43:00.000Z,1.5,102292,2026-08-20T20:42:00.000Z
102335,2026-08-20,IB_BEARISH,2026-08-20T20:54:00.000Z,-8.5,102330,2026-08-20T20:53:00.000Z
102378,2026-08-21,PD_SESSION_MID_FADE_LONG,2026-08-21T13:46:48.325Z,-76,102364,2026-08-21T13:45:00.000Z
102512,2026-08-21,PD_IB_LOW_FADE_LONG,2026-08-21T14:53:02.107Z,72,102458,2026-08-21T14:37:00.000Z
102667,2026-08-21,OR5_MID_FADE_LONG,2026-08-21T15:51:27.864Z,103,102664,2026-08-21T15:51:00.000Z
102711,2026-08-21,PD_VAH_FADE_LONG,2026-08-21T16:22:27.432Z,-66,102693,2026-08-21T16:21:00.000Z
103033,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T19:53:29.308Z,9.5,102954,2026-08-21T19:48:00.000Z
103043,2026-08-21,PD_VAH_FADE_SHORT,2026-08-21T20:00:43.936Z,54.5,102961,2026-08-21T19:58:00.000Z
103049,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:05:00.350Z,5,103046,2026-08-21T20:03:00.000Z
103053,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:08:12.781Z,-7.5,103049,2026-08-21T20:06:00.000Z
103057,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:11:20.802Z,2,103053,2026-08-21T20:09:00.000Z
103061,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:14:17.543Z,-5,103057,2026-08-21T20:12:00.000Z
