swing_width,type,pivot_date,pivot_session,z_score,vol_bucket,confluence_count,confluence_bucket,retest_date,retest_session,break_win1_mean,break_win1_mean_bucket,break_win1_max,break_win1_max_bucket,break_win2_mean,break_win2_mean_bucket,break_win2_max,break_win2_max_bucket,break_win3_mean,break_win3_mean_bucket,break_win3_max,break_win3_max_bucket,break_win4_mean,break_win4_mean_bucket,break_win4_max,break_win4_max_bucket,break_win6_mean,break_win6_mean_bucket,break_win6_max,break_win6_max_bucket,rxn_3,rxn_6,rxn_12,rxn_24
5,HIGH,2025-12-24,GLOBEX,-1.3387,NORMAL_LOW,1,1,2025-12-29,GLOBEX,-1.3498,NORMAL_LOW,-1.3498,NORMAL_LOW,-1.6442,NORMAL_LOW,-1.3498,NORMAL_LOW,-1.6457,NORMAL_LOW,-1.3498,NORMAL_LOW,-1.6549,NORMAL_LOW,-1.3498,NORMAL_LOW,-1.6150,NORMAL_LOW,-1.0996,NORMAL_LOW,22.5000,6.0000,8.7500,23.5000
5,LOW,2025-09-19,GLOBEX,-1.3371,NORMAL_LOW,0,0,2025-09-19,GLOBEX,-1.4548,NORMAL_LOW,-1.4548,NORMAL_LOW,-1.4854,NORMAL_LOW,-1.4548,NORMAL_LOW,-1.4908,NORMAL_LOW,-1.4548,NORMAL_LOW,-1.3306,NORMAL_LOW,-0.8500,NORMAL_LOW,-1.1345,NORMAL_LOW,-0.6712,NORMAL_LOW,-18.0000,-6.0000,-6.5000,10.0000
5,HIGH,2023-11-27,GLOBEX,-1.3367,NORMAL_LOW,0,0,2023-11-27,GLOBEX,-0.5969,NORMAL_LOW,-0.5969,NORMAL_LOW,-0.9765,NORMAL_LOW,-0.5969,NORMAL_LOW,-1.0581,NORMAL_LOW,-0.5969,NORMAL_LOW,-1.0927,NORMAL_LOW,-0.5969,NORMAL_LOW,-1.1120,NORMAL_LOW,-0.5969,NORMAL_LOW,-2.5000,-9.2500,-16.5000,-29.5000
5,HIGH,2023-11-24,GLOBEX,-1.3364,NORMAL_LOW,0,0,2023-11-24,RTH,-2.1093,NORMAL_LOW,-2.1093,NORMAL_LOW,-1.1906,NORMAL_LOW,-0.2720,NORMAL_LOW,-0.8829,NORMAL_LOW,-0.2675,NORMAL_LOW,-0.8710,NORMAL_LOW,-0.2675,NORMAL_LOW,-0.8384,NORMAL_LOW,-0.2675,NORMAL_LOW,20.5000,31.0000,23.7500,7.5000
5,HIGH,2024-05-27,GLOBEX,-1.3359,NORMAL_LOW,2,2+,2024-05-28,RTH,-1.9902,NORMAL_LOW,-1.9902,NORMAL_LOW,-2.0554,NORMAL_LOW,-1.9902,NORMAL_LOW,-2.0034,NORMAL_LOW,-1.8994,NORMAL_LOW,-2.2177,NORMAL_LOW,-1.8994,NORMAL_LOW,-2.1905,NORMAL_LOW,-1.8994,NORMAL_LOW,-5.2500,-11.7500,-75.5000,-83.0000
5,LOW,2026-04-03,GLOBEX,-1.3352,NORMAL_LOW,0,0,2026-04-05,GLOBEX,-1.3768,NORMAL_LOW,-1.3768,NORMAL_LOW,-1.5278,NORMAL_LOW,-1.3768,NORMAL_LOW,-1.9859,NORMAL_LOW,-1.3768,NORMAL_LOW,-2.0477,NORMAL_LOW,-1.3768,NORMAL_LOW,-2.0980,NORMAL_LOW,-1.3768,NORMAL_LOW,12.2500,6.7500,96.0000,-45.2500
5,LOW,2026-07-14,GLOBEX,-1.3318,NORMAL_LOW,0,0,2026-07-14,GLOBEX,-0.1496,NORMAL_LOW,-0.1496,NORMAL_LOW,0.4116,HIGH,0.9729,HIGH,0.1333,NORMAL_LOW,0.9729,HIGH,-0.1517,NORMAL_LOW,0.9729,NORMAL_LOW,-0.3757,NORMAL_LOW,0.9729,NORMAL_LOW,21.0000,34.0000,74.0000,78.0000
5,HIGH,2026-08-19,RTH,-1.3314,NORMAL_LOW,0,0,2026-08-19,RTH,-0.9736,NORMAL_LOW,-0.9736,NORMAL_LOW,-0.9103,NORMAL_LOW,-0.8469,NORMAL_LOW,-0.5246,NORMAL_LOW,0.2468,NORMAL_LOW,-0.5532,NORMAL_LOW,0.2468,NORMAL_LOW,-0.7074,NORMAL_LOW,0.2468,NORMAL_LOW,51.5000,-4.2500,22.7500,29.0000
5,HIGH,2025-09-16,GLOBEX,-1.3305,NORMAL_LOW,3,2+,2025-09-17,GLOBEX,-1.2667,NORMAL_LOW,-1.2667,NORMAL_LOW,-1.2714,NORMAL_LOW,-1.2667,NORMAL_LOW,-1.3135,NORMAL_LOW,-1.2667,NORMAL_LOW,-1.3257,NORMAL_LOW,-1.2667,NORMAL_LOW,-1.2337,NORMAL_LOW,-0.8515,NORMAL_LOW,-17.5000,-15.0000,-16.7500,0.5000
5,HIGH,2025-11-18,RTH,-1.3304,NORMAL_LOW,4,2+,2025-11-18,RTH,-1.2393,NORMAL_LOW,-1.2393,NORMAL_LOW,-1.1244,NORMAL_LOW,-1.0095,NORMAL_LOW,-1.2111,NORMAL_LOW,-1.0095,NORMAL_LOW,-1.2271,NORMAL_LOW,-1.0095,NORMAL_LOW,-1.2573,NORMAL_LOW,-1.0095,NORMAL_LOW,32.7500,-10.5000,2.0000,78.7500
