levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",110,126,65.08,30.16,4.76,130.09,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",115,126,61.90,31.75,6.35,144.18,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",120,126,61.11,32.54,6.35,129.96,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",125,126,61.11,32.54,6.35,138.10,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",130,126,61.90,31.75,6.35,138.41,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",135,126,61.90,30.16,7.94,127.73,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",140,126,61.90,30.16,7.94,128.63,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",145,126,63.49,28.57,7.94,116.33,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",150,126,60.32,30.95,8.73,121.20,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",155,126,49.21,40.48,10.32,125.75,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",160,126,60.32,30.16,9.52,110.29,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",165,126,56.35,33.33,10.32,119.66,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",170,125,57.60,31.20,11.20,110.73,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",175,125,55.20,33.60,11.20,116.34,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",180,125,50.40,38.40,11.20,115.30,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",185,125,49.60,39.20,11.20,108.55,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",190,125,51.20,37.60,11.20,106.32,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",195,125,60.00,29.60,10.40,101.76,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",200,125,55.20,32.80,12.00,98.25,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",205,125,52.00,36.80,11.20,105.38,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",210,125,53.60,32.80,13.60,99.58,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",215,125,42.40,42.40,15.20,98.92,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",220,125,52.80,31.20,16.00,86.75,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",225,125,48.80,34.40,16.80,90.77,125
