entryTime,direction,entryPrice,stopPrice,pivotPrice,streak,numTouches,fwd30,fwd60,fwd120,fwd240
2025-12-17 10:50:00,SHORT,25083.75,25272.81125,25178.75,1,2,38.25,89.00,74.25,126.25
2025-12-17 10:50:00,SHORT,25083.75,25272.81125,25212.75,3,4,38.25,89.00,74.25,126.25
2025-12-18 06:55:00,LONG,25100,25062.42675,25085,5,6,-3.50,-9.25,131.00,274.00
2026-02-04 12:40:00,SHORT,24850.25,24990.82325,24901.25,3,4,12.00,-37.25,-154.75,-312.00
2026-02-04 12:40:00,SHORT,24850.25,24990.82325,24902.25,1,2,12.00,-37.25,-154.75,-312.00
2025-12-19 09:45:00,LONG,25547,25349.5655,25412.5,1,2,-6.00,-41.75,-23.50,2.00
2026-01-20 04:15:00,SHORT,25165,25234.1845,25192.5,3,4,32.50,-2.50,-30.00,-66.50
2026-01-19 09:45:00,SHORT,25262,25303.47375,25273.75,10,11,-60.75,-63.25,-114.50,-123.25
2025-12-21 18:10:00,LONG,25638.75,25583.77625,25600.25,4,5,29.75,21.00,40.75,58.75
2025-12-30 20:00:00,SHORT,25597.25,25641.798,25628,5,6,-22.25,-20.75,-30.25,-21.00
2025-12-23 08:50:00,SHORT,25632.5,25675.988,25653.25,2,3,6.50,-92.75,-85.00,-121.50
2025-12-31 01:00:00,SHORT,25600.5,25630.238,25608.25,12,13,12.25,3.25,5.00,36.00
2026-01-07 11:15:00,LONG,25919.5,25897.48725,25910.5,7,8,34.00,53.25,27.25,-48.50
2025-12-29 00:15:00,SHORT,25831.75,25861.26275,25843.25,8,9,4.00,2.00,39.50,68.50
2025-12-30 19:10:00,SHORT,25644.25,25672.83175,25656.75,4,5,7.25,27.75,32.25,22.50
2025-12-30 19:10:00,SHORT,25644.25,25691.58175,25661.75,2,3,7.25,27.75,32.25,22.50
2026-01-06 13:55:00,LONG,25804.75,25755.91825,25772.75,12,13,4.00,3.25,25.00,23.75
2026-01-06 13:50:00,LONG,25798.75,25747.91825,25774.25,10,11,10.25,17.25,28.25,26.00
2026-01-06 13:55:00,LONG,25804.75,25755.916,25774.75,9,10,4.00,3.25,25.00,23.75
2026-01-06 14:20:00,LONG,25812.25,25776.666,25793.75,1,2,3.75,3.25,12.00,17.75
2025-12-31 14:55:00,SHORT,25535.75,25590.423,25552.5,2,3,48.25,39.00,98.25,32.00
2026-01-06 10:20:00,LONG,25763.5,25701.335,25742.75,2,3,-37.25,-89.50,-40.25,45.50
2026-01-19 05:00:00,SHORT,25286,25342.415,25303.5,2,3,-13.00,17.75,3.00,-51.50
2026-01-20 03:20:00,SHORT,25251.5,25293.415,25265.25,9,10,37.75,92.25,72.25,30.75
2026-01-19 02:40:00,SHORT,25328.75,25387.915,25362,3,4,-45.00,-73.00,39.75,31.25
2026-01-14 11:00:00,SHORT,25531,25575.94825,25538.5,3,4,-54.00,64.00,73.75,57.00
2026-01-14 10:55:00,SHORT,25492,25639.69825,25557,10,11,-75.00,44.00,48.25,-7.75
2026-01-14 10:55:00,SHORT,25492,25639.69825,25549.5,5,6,-75.00,44.00,48.25,-7.75
