zoneId,entryTime,direction,entryPrice,stopPrice,streak,mfeAtr,p50_pnl,p50_win
329,2025-12-18 09:15:00,LONG,25266.5,25212.67675,1,0.169,-109.65,false
287,2025-12-18 09:25:00,LONG,25279.5,25211.59225,2,0.135,-137.82,false
287,2025-12-18 09:45:00,SHORT,25189,25337.90775,0,0.052,-299.82,false
109,2025-12-18 10:35:00,LONG,25390,25172.67375,3,1.089,152.96,true
242,2025-12-18 10:35:00,LONG,25390,25170.7475,3,1.089,152.96,true
245,2025-12-18 10:35:00,LONG,25390,25170.4785,2,1.089,152.96,true
287,2025-12-18 10:35:00,LONG,25390,25168.34225,1,1.089,152.96,true
333,2025-12-18 10:35:00,LONG,25390,25169.3155,3,1.089,152.96,true
222,2025-12-18 10:40:00,LONG,25381,25267.00175,1,0.085,-230.00,false
223,2025-12-18 10:40:00,LONG,25381,25267.00175,5,0.085,-230.00,false
243,2025-12-18 10:40:00,LONG,25381,25267.9975,1,0.085,-228.00,false
258,2025-12-18 10:40:00,LONG,25381,25267.1065,2,0.085,-229.79,false
280,2025-12-18 10:40:00,LONG,25381,25265.22225,3,0.085,-233.56,false
129,2025-12-18 10:45:00,LONG,25373.5,25304.59625,0,0.105,-139.81,false
281,2025-12-18 10:45:00,LONG,25373.5,25299.97225,1,0.105,-149.06,false
129,2025-12-18 12:15:00,SHORT,25223.25,25390.90375,2,0.096,-337.31,false
281,2025-12-18 12:15:00,SHORT,25223.25,25395.52775,3,0.096,-346.56,false
109,2025-12-18 12:20:00,SHORT,25198.75,25357.32625,0,0.030,-319.15,false
222,2025-12-18 12:20:00,SHORT,25198.75,25360.24825,0,0.030,-325.00,false
223,2025-12-18 12:20:00,SHORT,25198.75,25360.24825,0,0.030,-325.00,false
242,2025-12-18 12:20:00,SHORT,25198.75,25359.2525,0,0.030,-323.00,false
243,2025-12-18 12:20:00,SHORT,25198.75,25359.2525,0,0.030,-323.00,false
245,2025-12-18 12:20:00,SHORT,25198.75,25359.5215,0,0.030,-323.54,false
258,2025-12-18 12:20:00,SHORT,25198.75,25360.1435,0,0.030,-324.79,false
280,2025-12-18 12:20:00,SHORT,25198.75,25362.02775,1,0.030,-328.56,false
287,2025-12-18 12:20:00,SHORT,25198.75,25361.65775,0,0.030,-327.82,false
333,2025-12-18 12:20:00,SHORT,25198.75,25360.6845,0,0.030,-325.87,false
329,2025-12-18 12:25:00,SHORT,25229.5,25272.32325,3,0.038,-87.65,false
109,2025-12-18 12:45:00,LONG,25328.5,25211.17375,0,0.198,-236.65,false
242,2025-12-18 12:45:00,LONG,25328.5,25209.2475,0,0.198,-240.50,false
245,2025-12-18 12:45:00,LONG,25328.5,25208.9785,0,0.198,-241.04,false
287,2025-12-18 12:45:00,LONG,25328.5,25206.84225,0,0.198,-245.32,false
329,2025-12-18 12:45:00,LONG,25328.5,25207.92675,0,0.198,-243.15,false
333,2025-12-18 12:45:00,LONG,25328.5,25207.8155,0,0.198,-243.37,false
258,2025-12-18 12:50:00,LONG,25332.5,25255.3565,0,0.188,-156.29,false
222,2025-12-18 12:55:00,LONG,25355.25,25290.25175,0,0.126,-132.00,false
243,2025-12-18 12:55:00,LONG,25355.25,25291.2475,0,0.126,-130.00,false
223,2025-12-18 13:20:00,LONG,25374.75,25310.75175,1,0.074,-130.00,false
280,2025-12-18 13:25:00,LONG,25362.5,25308.97225,2,0.107,-109.06,false
129,2025-12-18 13:30:00,LONG,25374.75,25342.59625,3,0.074,-66.31,false
281,2025-12-18 13:40:00,LONG,25371.75,25308.97225,2,0.011,-127.56,false
129,2025-12-18 14:00:00,SHORT,25263.75,25379.90375,0,0.192,-234.31,false
281,2025-12-18 14:00:00,SHORT,25263.75,25384.52775,0,0.192,-243.56,false
280,2025-12-18 14:10:00,SHORT,25295.5,25384.52775,0,0.277,152.96,true
223,2025-12-18 14:15:00,SHORT,25275,25346.99825,1,0.222,152.96,true
222,2025-12-18 14:20:00,SHORT,25268.75,25346.99825,1,0.205,-158.50,false
243,2025-12-18 14:20:00,SHORT,25268.75,25346.0025,0,0.205,-156.50,false
258,2025-12-18 14:25:00,SHORT,25278.75,25339.3935,1,0.232,152.96,true
245,2025-12-18 14:40:00,SHORT,25241.25,25338.7715,1,0.131,-197.04,false
333,2025-12-18 14:40:00,SHORT,25241.25,25304.4345,1,0.131,-128.37,false
109,2025-12-18 15:00:00,SHORT,25253.75,25288.07625,2,0.012,-70.65,false
