date,session,swing_width,type,target_type,entry,stop,target,hit_target,hit_stop,time_exit,pnl_pts,pnl_usd
2025-12-17,RTH,5,LONG,P50,25463.50,25444.50,25504.43,1,0,0,40.93,79.85
2025-12-18,RTH,3,LONG,P50,25393.75,25340.25,25435.30,0,1,0,-53.50,-109.00
2025-12-19,GLOBEX,3,LONG,P50,25355.00,25315.50,25391.18,0,1,0,-39.50,-81.00
2025-12-19,GLOBEX,5,LONG,P50,25355.00,25315.50,25391.18,0,1,0,-39.50,-81.00
2025-12-19,RTH,3,LONG,P50,25537.00,25409.50,25573.18,1,0,0,36.18,70.36
2025-12-19,RTH,5,LONG,P50,25537.00,25409.50,25573.18,1,0,0,36.18,70.36
2025-12-29,GLOBEX,3,LONG,P50,25837.50,25811.00,25867.30,0,1,0,-26.50,-55.00
2025-12-29,GLOBEX,3,SHORT,P50,25737.75,25783.50,25707.95,1,0,0,29.80,57.59
2025-12-29,GLOBEX,5,SHORT,P50,25737.75,25783.50,25707.95,1,0,0,29.80,57.59
2025-12-30,GLOBEX,3,SHORT,P50,25694.25,25698.25,25664.44,0,1,0,-4.00,-10.00
2025-12-30,GLOBEX,5,SHORT,P50,25694.25,25698.25,25664.44,0,1,0,-4.00,-10.00
2025-12-30,RTH,3,SHORT,P50,25636.75,25650.75,25606.94,1,0,0,29.81,57.62
2025-12-30,RTH,5,SHORT,P50,25636.75,25650.75,25606.94,1,0,0,29.81,57.62
2025-12-31,GLOBEX,3,LONG,P50,25660.00,25633.75,25688.91,1,0,0,28.91,55.82
2025-12-31,GLOBEX,5,LONG,P50,25660.00,25633.75,25688.91,1,0,0,28.91,55.82
2026-01-02,RTH,3,LONG,P50,25640.00,25634.00,25668.86,0,1,0,-6.00,-14.00
2026-01-02,RTH,5,LONG,P50,25640.00,25634.00,25668.86,0,1,0,-6.00,-14.00
2026-01-02,GLOBEX,3,SHORT,P50,25360.50,25427.25,25331.64,1,0,0,28.86,55.73
2026-01-02,GLOBEX,5,SHORT,P50,25360.50,25427.25,25331.64,1,0,0,28.86,55.73
2026-01-05,RTH,3,LONG,P50,25474.25,25455.00,25504.70,1,0,0,30.45,58.90
2026-01-05,RTH,5,LONG,P50,25474.25,25455.00,25504.70,1,0,0,30.45,58.90
2026-01-06,GLOBEX,3,SHORT,P50,25559.50,25636.25,25529.36,1,0,0,30.14,58.28
2026-01-06,GLOBEX,5,SHORT,P50,25559.50,25636.25,25529.36,1,0,0,30.14,58.28
2026-01-06,RTH,3,LONG,P50,25738.00,25706.50,25768.14,1,0,0,30.14,58.28
2026-01-06,RTH,5,LONG,P50,25738.00,25706.50,25768.14,1,0,0,30.14,58.28
2026-01-07,GLOBEX,3,SHORT,P50,25769.25,25777.75,25739.04,0,1,0,-8.50,-19.00
2026-01-07,GLOBEX,5,SHORT,P50,25769.25,25777.75,25739.04,0,1,0,-8.50,-19.00
2026-01-07,GLOBEX,3,LONG,P50,25854.00,25798.00,25884.21,1,0,0,30.21,58.43
2026-01-07,GLOBEX,5,LONG,P50,25855.00,25823.00,25885.21,0,1,0,-32.00,-66.00
2026-01-07,GLOBEX,5,LONG,P50,25859.25,25812.25,25889.46,0,1,0,-47.00,-96.00
2026-01-08,GLOBEX,3,SHORT,P50,25749.00,25768.00,25719.18,1,0,0,29.82,57.64
2026-01-08,GLOBEX,5,SHORT,P50,25749.00,25768.00,25719.18,1,0,0,29.82,57.64
2026-01-12,RTH,3,SHORT,P50,25728.50,25762.00,25698.20,0,1,0,-33.50,-69.00
2026-01-12,GLOBEX,3,SHORT,P50,25883.00,25924.00,25852.70,0,1,0,-41.00,-84.00
2026-01-12,GLOBEX,5,SHORT,P50,25883.00,25924.00,25852.70,0,1,0,-41.00,-84.00
2026-01-15,RTH,3,LONG,P50,25828.25,25794.75,25856.71,1,0,0,28.46,54.91
2026-01-15,RTH,5,LONG,P50,25828.25,25794.75,25856.71,1,0,0,28.46,54.91
2026-01-16,GLOBEX,3,SHORT,P50,25727.25,25765.50,25698.77,1,0,0,28.48,54.96
2026-01-16,GLOBEX,5,SHORT,P50,25727.25,25765.50,25698.77,1,0,0,28.48,54.96
2026-01-16,GLOBEX,3,SHORT,P50,25630.25,25674.75,25601.77,0,1,0,-44.50,-91.00
2026-01-16,GLOBEX,5,SHORT,P50,25630.25,25674.75,25601.77,0,1,0,-44.50,-91.00
2026-01-21,GLOBEX,3,SHORT,P50,25159.50,25188.25,25132.38,1,0,0,27.12,52.25
2026-01-21,GLOBEX,5,SHORT,P50,25159.50,25188.25,25132.38,1,0,0,27.12,52.25
2026-01-21,GLOBEX,3,SHORT,P50,25059.25,25094.00,25032.13,0,1,0,-34.75,-71.50
2026-01-21,RTH,3,SHORT,P50,25059.25,25094.00,25032.13,0,1,0,-34.75,-71.50
2026-01-21,GLOBEX,5,SHORT,P50,25059.25,25094.00,25032.13,0,1,0,-34.75,-71.50
2026-01-21,RTH,5,SHORT,P50,25059.25,25094.00,25032.13,0,1,0,-34.75,-71.50
2026-01-21,RTH,3,LONG,P50,25470.00,25431.25,25497.12,0,1,0,-38.75,-79.50
2026-01-21,RTH,5,LONG,P50,25470.00,25431.25,25497.12,0,1,0,-38.75,-79.50
2026-01-23,RTH,3,LONG,P50,25730.00,25714.25,25759.15,0,1,0,-15.75,-33.50
2026-01-23,RTH,5,LONG,P50,25730.00,25714.25,25759.15,0,1,0,-15.75,-33.50
2026-01-23,GLOBEX,3,SHORT,P50,25644.00,25689.50,25614.85,1,0,0,29.15,56.29
2026-01-23,GLOBEX,5,SHORT,P50,25644.00,25689.50,25614.85,1,0,0,29.15,56.29
2026-01-26,RTH,3,LONG,P50,25837.25,25768.50,25867.37,1,0,0,30.12,58.25
2026-01-26,RTH,5,LONG,P50,25837.25,25768.50,25867.37,1,0,0,30.12,58.25
2026-02-11,RTH,3,SHORT,P50,25190.00,25198.00,25148.02,0,1,0,-8.00,-18.00
2026-02-11,RTH,5,SHORT,P50,25190.00,25198.00,25148.02,0,1,0,-8.00,-18.00
2026-02-17,RTH,3,SHORT,P50,24686.25,24726.75,24641.50,1,0,0,44.75,87.50
2026-02-17,RTH,5,SHORT,P50,24686.25,24726.75,24641.50,1,0,0,44.75,87.50
2026-02-18,RTH,3,LONG,P50,24911.50,24886.00,24956.86,1,0,0,45.36,88.72
2026-02-18,RTH,5,LONG,P50,24911.50,24886.00,24956.86,1,0,0,45.36,88.72
2026-02-24,GLOBEX,3,SHORT,P50,24852.75,24866.00,24806.37,0,1,0,-13.25,-28.50
2026-02-24,GLOBEX,5,SHORT,P50,24852.75,24866.00,24806.37,0,1,0,-13.25,-28.50
2026-02-24,RTH,3,LONG,P50,25061.25,25043.25,25107.63,0,1,0,-18.00,-38.00
2026-02-24,RTH,5,LONG,P50,25061.25,25043.25,25107.63,0,1,0,-18.00,-38.00
2026-02-27,GLOBEX,3,SHORT,P50,25054.50,25059.50,25007.74,0,1,0,-5.00,-12.00
2026-02-27,GLOBEX,5,SHORT,P50,25054.50,25059.50,25007.74,0,1,0,-5.00,-12.00
2026-02-27,GLOBEX,3,SHORT,P50,25039.50,25061.00,24992.74,1,0,0,46.76,91.53
2026-02-27,GLOBEX,3,SHORT,P50,25050.75,25098.75,25003.99,1,0,0,46.76,91.53
2026-02-27,GLOBEX,5,SHORT,P50,25050.75,25098.75,25003.99,1,0,0,46.76,91.53
2026-03-03,RTH,3,SHORT,P50,24765.50,24792.75,24718.91,0,1,0,-27.25,-56.50
2026-03-03,RTH,5,SHORT,P50,24765.50,24792.75,24718.91,0,1,0,-27.25,-56.50
2026-03-04,GLOBEX,3,LONG,P50,24659.75,24638.25,24705.03,0,1,0,-21.50,-45.00
2026-03-04,GLOBEX,5,LONG,P50,24659.75,24638.25,24705.03,0,1,0,-21.50,-45.00
2026-03-06,RTH,3,SHORT,P50,24962.25,25035.75,24918.06,1,0,0,44.19,86.38
2026-03-11,GLOBEX,3,SHORT,P50,25057.50,25076.25,25012.46,1,0,0,45.04,88.08
2026-03-11,GLOBEX,5,SHORT,P50,25057.50,25076.25,25012.46,1,0,0,45.04,88.08
2026-03-11,GLOBEX,3,SHORT,P50,24830.00,24885.00,24784.96,1,0,0,45.04,88.08
2026-03-11,RTH,3,SHORT,P50,24830.00,24885.00,24784.96,1,0,0,45.04,88.08
2026-03-11,GLOBEX,5,SHORT,P50,24830.00,24885.00,24784.96,1,0,0,45.04,88.08
2026-03-11,RTH,5,SHORT,P50,24830.00,24885.00,24784.96,1,0,0,45.04,88.08
2026-03-17,GLOBEX,3,LONG,P50,25056.50,24964.00,25099.50,1,0,0,43.00,83.99
2026-03-18,GLOBEX,3,SHORT,P50,24881.25,24995.75,24839.76,0,1,0,-114.50,-231.00
2026-03-18,GLOBEX,5,SHORT,P50,24881.25,24995.75,24839.76,0,1,0,-114.50,-231.00
2026-03-18,GLOBEX,3,SHORT,P50,24738.25,24801.50,24696.76,1,0,0,41.49,80.98
2026-03-18,GLOBEX,5,SHORT,P50,24738.25,24801.50,24696.76,1,0,0,41.49,80.98
2026-03-20,RTH,3,SHORT,P50,24504.50,24541.00,24462.26,0,1,0,-36.50,-75.00
2026-03-20,RTH,5,SHORT,P50,24504.50,24541.00,24462.26,0,1,0,-36.50,-75.00
2026-03-20,RTH,3,SHORT,P50,24271.50,24328.00,24229.26,0,1,0,-56.50,-115.00
2026-03-20,RTH,5,SHORT,P50,24271.50,24328.00,24229.26,0,1,0,-56.50,-115.00
2026-03-24,GLOBEX,3,LONG,P50,24353.75,24315.00,24396.37,1,0,0,42.62,83.24
2026-03-24,GLOBEX,3,LONG,P50,24469.75,24405.00,24512.37,0,1,0,-64.75,-131.50
2026-03-27,GLOBEX,3,LONG,P50,23917.75,23898.25,23959.56,1,0,0,41.81,81.61
2026-03-27,GLOBEX,3,LONG,P50,23958.25,23914.50,24000.06,0,1,0,-43.75,-89.50
2026-03-27,GLOBEX,5,LONG,P50,23958.25,23914.50,24000.06,0,1,0,-43.75,-89.50
2026-03-30,RTH,3,LONG,P50,23389.25,23373.50,23431.84,0,1,0,-15.75,-33.50
2026-04-01,GLOBEX,3,LONG,P50,24059.00,24036.00,24102.25,0,1,0,-23.00,-48.00
2026-04-01,GLOBEX,5,LONG,P50,24059.00,24036.00,24102.25,0,1,0,-23.00,-48.00
2026-04-07,GLOBEX,3,LONG,P50,24253.50,24234.50,24296.69,0,1,0,-19.00,-40.00
2026-04-07,GLOBEX,5,LONG,P50,24253.50,24234.50,24296.69,0,1,0,-19.00,-40.00
2026-04-07,GLOBEX,3,LONG,P50,24364.75,24326.50,24407.94,1,0,0,43.19,84.38
2026-04-07,RTH,3,LONG,P50,24801.25,24355.00,24844.44,1,0,0,43.19,84.38
2026-04-07,RTH,5,LONG,P50,24801.25,24355.00,24844.44,1,0,0,43.19,84.38
2026-04-09,GLOBEX,3,SHORT,P50,25011.75,25020.00,24970.28,0,1,0,-8.25,-18.50
2026-04-10,GLOBEX,3,SHORT,P50,25231.25,25251.00,25189.76,0,1,0,-19.75,-41.50
2026-04-10,GLOBEX,5,SHORT,P50,25231.25,25251.00,25189.76,0,1,0,-19.75,-41.50
2026-04-10,GLOBEX,3,LONG,P50,25319.50,25291.75,25360.99,1,0,0,41.49,80.98
2026-04-10,GLOBEX,5,LONG,P50,25319.50,25291.75,25360.99,1,0,0,41.49,80.98
2026-04-13,RTH,3,SHORT,P50,25182.00,25238.25,25141.19,0,1,0,-56.25,-114.50
2026-04-13,RTH,5,SHORT,P50,25182.00,25238.25,25141.19,0,1,0,-56.25,-114.50
2026-04-13,RTH,3,LONG,P50,25405.25,25387.00,25446.06,1,0,0,40.81,79.62
2026-04-13,RTH,5,LONG,P50,25405.25,25387.00,25446.06,1,0,0,40.81,79.62
2026-04-15,GLOBEX,3,SHORT,P50,25971.25,25988.25,25929.99,0,1,0,-17.00,-36.00
2026-04-15,GLOBEX,5,SHORT,P50,25971.25,25988.25,25929.99,0,1,0,-17.00,-36.00
2026-04-16,GLOBEX,3,SHORT,P50,26424.25,26439.25,26381.74,0,1,0,-15.00,-32.00
2026-04-16,GLOBEX,5,SHORT,P50,26424.25,26439.25,26381.74,0,1,0,-15.00,-32.00
2026-04-16,GLOBEX,3,LONG,P50,26481.75,26461.00,26524.26,0,1,0,-20.75,-43.50
2026-04-16,GLOBEX,5,LONG,P50,26481.75,26461.00,26524.26,0,1,0,-20.75,-43.50
2026-04-17,RTH,3,LONG,P50,26517.75,26506.50,26559.88,0,1,0,-11.25,-24.50
2026-04-17,RTH,5,LONG,P50,26517.75,26506.50,26559.88,0,1,0,-11.25,-24.50
2026-04-17,RTH,3,LONG,P50,26590.25,26561.50,26632.38,1,0,0,42.13,82.27
2026-04-17,RTH,5,LONG,P50,26590.25,26561.50,26632.38,1,0,0,42.13,82.27
2026-04-23,GLOBEX,3,LONG,P50,27144.00,27093.75,27183.96,0,1,0,-50.25,-102.50
2026-04-23,GLOBEX,5,LONG,P50,27144.00,27093.75,27183.96,0,1,0,-50.25,-102.50
2026-04-24,RTH,3,LONG,P50,27234.25,27130.25,27275.52,1,0,0,41.27,80.55
2026-04-24,RTH,5,LONG,P50,27234.25,27130.25,27275.52,1,0,0,41.27,80.55
2026-04-28,RTH,3,SHORT,P50,27364.00,27379.00,27324.82,1,0,0,39.18,76.37
