date,session,swing_width,type,confirmation_window_hours,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2025-09-10,GLOBEX,3,LOW,1,3,2.00,-0.5559,-0.2614,-1.2672,-0.4831,-1.0375,-1.2389,-4.0268,1,23867.00,23879.50,23856.25,23826.90,1,1,0,0,0,10.75,40.10,19.50,78.20
2025-09-17,GLOBEX,3,LOW,1,2,3.17,-0.6003,-1.2076,-1.0013,-0.4823,-1.0449,-1.4974,-4.0258,1,24241.25,24270.25,24231.03,24203.14,1,0,0,1,0,10.22,-29.00,18.43,-60.00
2026-02-16,RTH,5,HIGH,1,4,77.17,-0.3615,0.0111,-1.4267,-0.4286,-1.0053,-1.1645,-4.0251,1,24812.25,24803.00,24831.25,24883.14,0,0,1,1,0,-9.25,-9.25,-20.50,-20.50
2025-10-21,RTH,5,LOW,1,2,7.43,-0.9623,-0.9918,-1.0013,-0.4792,-1.1050,-1.4384,-4.0239,1,25481.50,25493.00,25467.52,25429.37,0,0,1,1,0,-11.50,-11.50,-25.00,-25.00
2025-10-21,RTH,3,LOW,1,2,7.28,-0.9623,-0.9364,-1.0013,-0.4793,-1.1050,-1.4233,-4.0089,1,25481.50,25493.00,25467.52,25429.37,0,0,1,1,0,-11.50,-11.50,-25.00,-25.00
2025-09-19,GLOBEX,3,HIGH,1,2,18.18,-0.9215,-0.9632,-1.0013,-0.4714,-1.0983,-1.4306,-4.0015,1,24496.50,24489.25,24506.46,24533.66,1,1,0,0,0,9.96,37.16,17.92,72.31
2026-05-25,RTH,3,HIGH,1,3,1.67,-0.6780,-0.0852,-1.2672,-0.4833,-1.0578,-1.1908,-3.9992,1,29947.75,29941.00,29964.86,30011.59,1,0,0,1,0,17.11,-6.75,32.22,-15.50
2025-09-19,GLOBEX,5,HIGH,1,2,18.75,-0.9215,-0.9308,-1.0013,-0.4710,-1.0983,-1.4218,-3.9923,1,24496.50,24489.25,24506.46,24533.66,1,1,0,0,0,9.96,37.16,17.92,72.31
2026-02-16,RTH,3,HIGH,1,4,65.75,-0.3615,0.1632,-1.4267,-0.4369,-1.0053,-1.1230,-3.9918,1,24812.25,24803.00,24831.25,24883.14,0,0,1,1,0,-9.25,-9.25,-20.50,-20.50
2025-09-17,GLOBEX,3,LOW,1,2,1.58,-0.8549,-0.9026,-1.0013,-0.4834,-1.0872,-1.4141,-3.9860,1,24261.00,24269.50,24250.78,24222.89,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2025-11-12,RTH,5,LOW,1,3,187.67,-0.5180,-0.6190,-1.2672,-0.3484,-1.0313,-1.3366,-3.9835,1,25803.25,25830.00,25788.58,25748.52,0,0,1,1,0,-26.75,-26.75,-55.50,-55.50
2025-11-12,RTH,3,LOW,1,3,187.52,-0.5180,-0.5979,-1.2672,-0.3486,-1.0313,-1.3308,-3.9778,1,25803.25,25830.00,25788.58,25748.52,0,0,1,1,0,-26.75,-26.75,-55.50,-55.50
