Config,K,RejectFrac,FlatBaseN,FlatBaseRate,SigN,SigRate,SigTMBaseRate,SameSelN,SameSelRate,SameSelTMBaseRate,Z_SigVsFlatBase,Z_SigVsTMBase,Z_SigVsSame,ThirdsStable
IB_HIGH_TO_IB_LOW_RTH,20,0.02,392,62.0%,98,50.0%,50.1%,160,20.0%,51.4%,-2.16,-0.02,5.04,NO
IB_HIGH_TO_IB_LOW_RTH,20,0.05,392,62.0%,141,42.6%,51.0%,117,17.9%,50.9%,-4.00,-2.00,4.24,NO
IB_HIGH_TO_IB_LOW_RTH,20,0.1,392,62.0%,195,34.9%,50.8%,63,20.6%,51.3%,-6.20,-4.45,2.12,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,3,0.02,392,67.1%,147,37.4%,58.3%,95,23.2%,60.4%,-6.24,-5.14,2.33,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,3,0.05,392,67.1%,177,35.6%,58.6%,65,21.5%,60.6%,-7.03,-6.21,2.08,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,3,0.1,392,67.1%,213,33.8%,58.9%,29,17.2%,61.0%,-7.87,-7.43,1.80,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,5,0.02,392,67.1%,118,42.4%,57.6%,124,21.8%,59.6%,-4.83,-3.35,3.44,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,5,0.05,392,67.1%,150,39.3%,58.4%,92,19.6%,59.1%,-5.89,-4.73,3.20,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,5,0.1,392,67.1%,197,35.0%,58.5%,45,17.8%,59.2%,-7.40,-6.68,2.24,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,10,0.02,392,67.1%,94,45.7%,56.2%,148,23.0%,58.7%,-3.85,-2.05,3.71,NO
IB_LOW_TO_IB_HIGH_RTH,10,0.05,392,67.1%,118,44.1%,56.9%,124,20.2%,58.5%,-4.51,-2.81,3.99,NO
IB_LOW_TO_IB_HIGH_RTH,10,0.1,392,67.1%,157,39.5%,57.3%,85,17.6%,58.5%,-5.95,-4.51,3.48,YES_NEG
IB_LOW_TO_IB_HIGH_RTH,20,0.02,392,67.1%,77,48.1%,54.2%,164,23.2%,57.0%,-3.18,-1.09,3.89,NO
IB_LOW_TO_IB_HIGH_RTH,20,0.05,392,67.1%,99,47.5%,55.1%,142,19.7%,56.8%,-3.62,-1.52,4.58,NO
IB_LOW_TO_IB_HIGH_RTH,20,0.1,392,67.1%,134,43.3%,55.4%,107,15.9%,57.0%,-4.88,-2.82,4.56,NO
ONH_TO_ONL_RTH,3,0.02,411,62.5%,165,34.5%,52.1%,109,30.3%,58.1%,-6.10,-4.52,0.74,YES_NEG
ONH_TO_ONL_RTH,3,0.05,411,62.5%,193,33.2%,52.8%,81,32.1%,58.7%,-6.74,-5.45,0.17,YES_NEG
ONH_TO_ONL_RTH,3,0.1,411,62.5%,236,35.2%,53.7%,38,18.4%,59.8%,-6.71,-5.70,2.04,YES_NEG
ONH_TO_ONL_RTH,5,0.02,411,62.5%,145,35.9%,51.3%,129,29.5%,56.6%,-5.56,-3.73,1.13,YES_NEG
ONH_TO_ONL_RTH,5,0.05,411,62.5%,175,33.7%,51.6%,99,31.3%,57.8%,-6.40,-4.73,0.41,YES_NEG
ONH_TO_ONL_RTH,5,0.1,411,62.5%,223,36.3%,52.8%,51,17.6%,58.5%,-6.32,-4.92,2.56,YES_NEG
ONH_TO_ONL_RTH,10,0.02,411,62.5%,114,38.6%,49.7%,159,28.9%,54.9%,-4.57,-2.37,1.68,YES_NEG
ONH_TO_ONL_RTH,10,0.05,411,62.5%,142,35.2%,50.1%,131,30.5%,55.6%,-5.65,-3.55,0.82,YES_NEG
