group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p75,0.42837560230017063,2025-12-30,2025-12,HIGH,-111.16799999999785,0,STOP,-54.58399999999892
3_GLOBEX,p75,0.42837560230017063,2025-12-30,2025-12,HIGH,226.4955462669095,1,TARGET,114.24777313345476
3_GLOBEX,p75,0.42837560230017063,2025-12-31,2025-12,HIGH,219.59869906988024,1,TARGET,110.79934953494012
3_GLOBEX,p75,0.42837560230017063,2026-01-02,2026-01,LOW,219.25599858803616,1,TARGET,110.62799929401808
3_GLOBEX,p75,0.42837560230017063,2026-01-05,2026-01,LOW,231.38973752318998,1,TARGET,116.69486876159499
3_GLOBEX,p75,0.42837560230017063,2026-01-05,2026-01,HIGH,-32.39650000000256,0,STOP,-15.19825000000128
3_GLOBEX,p75,0.42837560230017063,2026-01-06,2026-01,LOW,-32.89650000000256,0,STOP,-15.44825000000128
3_GLOBEX,p75,0.42837560230017063,2026-01-06,2026-01,HIGH,-75.78699999999662,0,STOP,-36.89349999999831
3_GLOBEX,p75,0.42837560230017063,2026-01-06,2026-01,HIGH,-59.786999999996624,0,STOP,-28.893499999998312
3_GLOBEX,p75,0.42837560230017063,2026-01-06,2026-01,LOW,-48.286999999996624,0,STOP,-23.143499999998312
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,LOW,-45.286999999996624,0,STOP,-21.643499999998312
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,HIGH,-30.31300000000192,0,STOP,-14.15650000000096
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,HIGH,-55.31300000000192,0,STOP,-26.65650000000096
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,HIGH,-54.81300000000192,0,STOP,-26.40650000000096
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,LOW,-38.31300000000192,0,STOP,-18.15650000000096
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,LOW,-54.31300000000192,0,STOP,-26.15650000000096
3_GLOBEX,p75,0.42837560230017063,2026-01-07,2026-01,HIGH,229.60126938358735,1,TARGET,115.80063469179368
3_GLOBEX,p75,0.42837560230017063,2026-01-08,2026-01,LOW,-84.17149999999674,0,STOP,-41.08574999999837
3_GLOBEX,p75,0.42837560230017063,2026-01-08,2026-01,HIGH,-392.17149999999674,0,STOP,-195.08574999999837
3_GLOBEX,p75,0.42837560230017063,2026-01-12,2026-01,HIGH,-475.78800000000047,0,STOP,-236.89400000000023
3_GLOBEX,p75,0.42837560230017063,2026-01-12,2026-01,HIGH,-91.84399999999732,0,STOP,-44.92199999999866
3_GLOBEX,p75,0.42837560230017063,2026-01-13,2026-01,HIGH,227.8877669743888,1,TARGET,114.9438834871944
3_GLOBEX,p75,0.42837560230017063,2026-01-13,2026-01,HIGH,227.8877669743888,1,TARGET,114.9438834871944
3_GLOBEX,p75,0.42837560230017063,2026-01-14,2026-01,HIGH,-98.70900000000256,0,STOP,-48.35450000000128
3_GLOBEX,p75,0.42837560230017063,2026-01-14,2026-01,LOW,-174.70900000000256,0,STOP,-86.35450000000128
3_GLOBEX,p75,0.42837560230017063,2026-01-14,2026-01,LOW,216.6643261941208,1,TARGET,109.3321630970604
3_GLOBEX,p75,0.42837560230017063,2026-01-15,2026-01,LOW,216.1181473011893,1,TARGET,109.05907365059466
3_GLOBEX,p75,0.42837560230017063,2026-01-15,2026-01,HIGH,216.1181473011893,1,TARGET,109.05907365059466
3_GLOBEX,p75,0.42837560230017063,2026-01-15,2026-01,LOW,216.1181473011893,1,TARGET,109.05907365059466
