swing_width,type,pivot_date,pivot_session,confluence_bucket,break_date,break_month,touchVolZ,breakVolZ,mfe_pts,mfe_atr
5,HIGH,2026-03-31,GLOBEX,2+,2026-03-31,2026-03,8.3765,0.0640,612.0000,1.6024
3,LOW,2026-05-14,GLOBEX,2+,2026-05-14,2026-05,-0.4292,-0.1087,535.5000,1.6024
3,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,-0.0913,-0.6521,499.0000,1.6024
5,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,-0.0913,-0.3770,499.0000,1.6024
3,HIGH,2026-03-09,GLOBEX,0,2026-03-09,2026-03,6.2078,1.5059,618.2500,1.6035
3,HIGH,2026-03-08,GLOBEX,0,2026-03-09,2026-03,2.0460,1.6333,618.2500,1.6035
5,HIGH,2026-03-08,GLOBEX,0,2026-03-09,2026-03,2.0460,1.9358,618.2500,1.6035
3,LOW,2026-06-22,RTH,1,2026-06-22,2026-06,-0.7487,-0.9358,821.2500,1.6040
5,LOW,2026-06-22,RTH,1,2026-06-22,2026-06,-0.7487,-0.9412,821.2500,1.6040
3,HIGH,2026-03-09,RTH,2+,2026-03-09,2026-03,-0.0345,-0.3291,618.5000,1.6041
3,HIGH,2026-03-09,RTH,2+,2026-03-09,2026-03,0.4929,0.4807,618.5000,1.6041
5,HIGH,2026-03-09,RTH,2+,2026-03-09,2026-03,-0.0345,-0.0493,618.5000,1.6041
3,LOW,2026-02-02,GLOBEX,2+,2026-02-02,2026-02,2.5624,-0.0180,469.0000,1.6043
5,LOW,2026-02-02,GLOBEX,2+,2026-02-02,2026-02,2.5624,-0.0096,469.0000,1.6043
3,HIGH,2026-05-04,RTH,2+,2026-05-05,2026-05,-0.0532,-0.5278,505.5000,1.6047
5,HIGH,2026-05-04,RTH,2+,2026-05-05,2026-05,-0.0532,-0.1891,505.5000,1.6047
3,HIGH,2026-03-09,GLOBEX,2+,2026-03-09,2026-03,1.0409,1.4909,618.7500,1.6048
3,HIGH,2026-03-09,GLOBEX,2+,2026-03-09,2026-03,0.6285,0.1585,618.7500,1.6048
5,HIGH,2026-03-09,GLOBEX,2+,2026-03-09,2026-03,1.0409,1.4285,618.7500,1.6048
5,HIGH,2026-03-09,GLOBEX,2+,2026-03-09,2026-03,0.6285,0.2671,618.7500,1.6048
3,LOW,2026-07-29,GLOBEX,0,2026-07-29,2026-07,-0.4746,-0.3411,701.5000,1.6048
3,LOW,2026-03-20,GLOBEX,0,2026-03-20,2026-03,-0.4564,-0.5822,606.7500,1.6055
3,LOW,2026-03-20,GLOBEX,0,2026-03-20,2026-03,-0.4353,-0.4328,606.7500,1.6055
5,LOW,2026-03-20,GLOBEX,0,2026-03-20,2026-03,-0.4564,-0.4944,606.7500,1.6055
3,HIGH,2026-06-08,GLOBEX,1,2026-06-08,2026-06,-0.1941,1.0803,646.0000,1.6057
3,HIGH,2026-02-02,GLOBEX,1,2026-02-02,2026-02,0.9683,0.0657,469.5000,1.6060
5,HIGH,2026-02-02,GLOBEX,1,2026-02-02,2026-02,0.9683,0.0286,469.5000,1.6060
3,HIGH,2025-10-15,GLOBEX,1,2025-10-15,2025-10,-0.8448,-0.7170,405.0000,1.6062
3,LOW,2026-05-18,GLOBEX,1,2026-05-18,2026-05,4.5476,2.0703,551.0000,1.6063
3,LOW,2026-05-18,GLOBEX,1,2026-05-18,2026-05,1.7055,2.9293,551.0000,1.6063
3,LOW,2025-11-17,RTH,0,2025-11-17,2025-11,-1.0751,-0.6419,503.7500,1.6065
3,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.3328,-0.3595,588.2500,1.6065
5,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.3328,-0.2465,588.2500,1.6065
3,LOW,2026-03-06,RTH,0,2026-03-06,2026-03,0.4289,-0.2202,635.2500,1.6068
