swing_width,type,pivot_date,pivot_session,touchVolZ,touchVolZBucket,breakVolZ,breakVolZBucket,confluenceCount,retest_date,retest_session,rxn_3,rxn_6,rxn_12,rxn_24
3,HIGH,2026-06-19,RTH,-2.0695,NORMAL_LOW,-1.9174,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
5,LOW,2026-06-19,RTH,-1.4708,NORMAL_LOW,-1.9174,NORMAL_LOW,2+,2026-06-19,RTH,5.7500,4.5000,9.7500,-21.5000
5,HIGH,2026-09-07,RTH,-1.3921,NORMAL_LOW,-1.9103,NORMAL_LOW,1,2026-09-07,RTH,4.7500,5.0000,10.0000,26.2500
3,HIGH,2026-06-19,RTH,-2.2609,NORMAL_LOW,-1.9089,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
5,HIGH,2025-09-17,RTH,-1.7100,NORMAL_LOW,-1.8987,NORMAL_LOW,1,2025-09-17,GLOBEX,-21.2500,-17.0000,-15.5000,-1.5000
3,HIGH,2026-07-03,RTH,-1.7327,NORMAL_LOW,-1.8953,NORMAL_LOW,2+,2026-07-06,GLOBEX,-3.0000,-3.5000,-4.7500,34.7500
3,HIGH,2026-02-16,RTH,-1.9805,NORMAL_LOW,-1.8951,NORMAL_LOW,1,2026-02-16,RTH,-20.5000,-43.0000,-44.0000,-19.7500
3,HIGH,2026-07-03,RTH,-2.1246,NORMAL_LOW,-1.8933,NORMAL_LOW,2+,2026-07-06,GLOBEX,17.7500,9.0000,6.0000,0.7500
3,HIGH,2026-06-19,RTH,-1.7174,NORMAL_LOW,-1.8885,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
5,LOW,2026-09-07,RTH,-2.4248,NORMAL_LOW,-1.8865,NORMAL_LOW,2+,2026-09-07,RTH,9.0000,1.7500,-7.0000,-22.0000
3,LOW,2026-07-03,RTH,-1.7796,NORMAL_LOW,-1.8858,NORMAL_LOW,2+,2026-07-03,RTH,18.5000,16.2500,15.5000,13.0000
5,LOW,2025-09-18,RTH,-2.1507,NORMAL_LOW,-1.8849,NORMAL_LOW,1,2025-09-18,RTH,3.0000,-26.2500,39.5000,79.0000
3,LOW,2026-09-07,RTH,-1.8764,NORMAL_LOW,-1.8840,NORMAL_LOW,2+,2026-09-07,RTH,4.5000,3.7500,8.5000,17.7500
3,HIGH,2026-05-25,RTH,-1.4788,NORMAL_LOW,-1.8820,NORMAL_LOW,0,2026-05-25,GLOBEX,0.5000,14.7500,14.5000,55.5000
3,LOW,2026-09-07,RTH,-1.5795,NORMAL_LOW,-1.8778,NORMAL_LOW,2+,2026-09-07,GLOBEX,5.7500,7.0000,-4.0000,-23.0000
3,LOW,2026-09-07,RTH,-2.4248,NORMAL_LOW,-1.8758,NORMAL_LOW,2+,2026-09-07,RTH,9.0000,1.7500,-7.0000,-22.0000
3,LOW,2026-06-19,RTH,-1.4901,NORMAL_LOW,-1.8737,NORMAL_LOW,2+,2026-06-19,RTH,-15.2500,-15.0000,-11.0000,8.0000
5,HIGH,2025-09-16,GLOBEX,-1.3617,NORMAL_LOW,-1.8735,NORMAL_LOW,0,2025-09-17,GLOBEX,2.7500,14.7500,7.7500,13.7500
3,LOW,2025-10-01,RTH,-1.8727,NORMAL_LOW,-1.8709,NORMAL_LOW,0,2025-10-01,GLOBEX,11.0000,21.0000,29.2500,64.5000
3,LOW,2026-06-19,RTH,-1.4708,NORMAL_LOW,-1.8669,NORMAL_LOW,2+,2026-06-19,RTH,5.7500,4.5000,9.7500,-21.5000
3,HIGH,2026-09-07,RTH,-1.3921,NORMAL_LOW,-1.8644,NORMAL_LOW,1,2026-09-07,RTH,4.7500,5.0000,10.0000,26.2500
5,LOW,2026-06-19,RTH,-1.4901,NORMAL_LOW,-1.8635,NORMAL_LOW,2+,2026-06-19,RTH,-15.2500,-15.0000,-11.0000,8.0000
3,HIGH,2026-06-19,RTH,-1.4732,NORMAL_LOW,-1.8635,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
5,HIGH,2026-07-03,RTH,-2.1246,NORMAL_LOW,-1.8591,NORMAL_LOW,2+,2026-07-06,GLOBEX,17.7500,9.0000,6.0000,0.7500
3,LOW,2026-09-07,RTH,-1.8737,NORMAL_LOW,-1.8578,NORMAL_LOW,1,2026-09-07,RTH,-20.7500,-11.7500,-22.0000,-32.5000
3,LOW,2026-06-19,RTH,-1.9189,NORMAL_LOW,-1.8531,NORMAL_LOW,2+,2026-06-19,RTH,-2.0000,1.7500,5.0000,-19.2500
3,HIGH,2025-10-02,GLOBEX,-1.0791,NORMAL_LOW,-1.8501,NORMAL_LOW,2+,2025-10-02,GLOBEX,-2.5000,-11.7500,-21.5000,2.0000
3,LOW,2026-02-16,RTH,-2.5132,NORMAL_LOW,-1.8484,NORMAL_LOW,2+,2026-02-16,RTH,-5.7500,-18.5000,-11.0000,51.2500
3,HIGH,2025-10-03,RTH,-1.6394,NORMAL_LOW,-1.8418,NORMAL_LOW,2+,2025-10-05,GLOBEX,-75.2500,-56.7500,-84.2500,-146.0000
3,LOW,2026-09-07,RTH,-1.4096,NORMAL_LOW,-1.8395,NORMAL_LOW,1,2026-09-07,RTH,-2.5000,-12.7500,3.5000,-0.7500
5,HIGH,2025-09-29,GLOBEX,-0.8901,NORMAL_LOW,-1.8336,NORMAL_LOW,1,2025-09-29,RTH,-45.0000,-53.0000,-44.0000,-67.0000
5,LOW,2026-05-25,RTH,-1.0047,NORMAL_LOW,-1.8253,NORMAL_LOW,0,2026-05-25,RTH,2.7500,-1.2500,3.0000,-2.2500
3,LOW,2026-09-07,RTH,-1.4393,NORMAL_LOW,-1.8232,NORMAL_LOW,1,2026-09-07,GLOBEX,-0.7500,-11.2500,-10.5000,-6.7500
3,LOW,2026-06-19,RTH,-2.0638,NORMAL_LOW,-1.8225,NORMAL_LOW,2+,2026-06-19,RTH,19.7500,13.0000,14.0000,11.2500
3,HIGH,2026-09-07,RTH,-1.6616,NORMAL_LOW,-1.8084,NORMAL_LOW,1,2026-09-07,RTH,-5.2500,-4.5000,-9.0000,-2.5000
5,LOW,2026-09-07,RTH,-1.4393,NORMAL_LOW,-1.8070,NORMAL_LOW,1,2026-09-07,GLOBEX,-0.7500,-11.2500,-10.5000,-6.7500
3,HIGH,2026-05-25,RTH,-1.7410,NORMAL_LOW,-1.8030,NORMAL_LOW,0,2026-05-25,GLOBEX,0.5000,14.7500,14.5000,55.5000
5,HIGH,2025-10-02,GLOBEX,-1.0791,NORMAL_LOW,-1.7958,NORMAL_LOW,2+,2025-10-02,GLOBEX,-2.5000,-11.7500,-21.5000,2.0000
5,LOW,2026-09-07,RTH,-1.5795,NORMAL_LOW,-1.7903,NORMAL_LOW,2+,2026-09-07,GLOBEX,5.7500,7.0000,-4.0000,-23.0000
5,HIGH,2026-07-03,RTH,-1.2885,NORMAL_LOW,-1.7892,NORMAL_LOW,2+,2026-07-06,GLOBEX,-2.5000,-3.5000,13.7500,-3.2500
5,LOW,2026-07-03,RTH,-1.3147,NORMAL_LOW,-1.7850,NORMAL_LOW,2+,2026-07-03,RTH,-0.2500,12.7500,15.0000,4.5000
3,LOW,2026-09-07,RTH,-2.2266,NORMAL_LOW,-1.7839,NORMAL_LOW,2+,2026-09-07,GLOBEX,5.7500,7.0000,-4.0000,-23.0000
3,LOW,2026-05-25,RTH,-2.1584,NORMAL_LOW,-1.7824,NORMAL_LOW,0,2026-05-25,RTH,2.7500,-1.2500,3.0000,-2.2500
3,LOW,2026-09-07,RTH,-1.6516,NORMAL_LOW,-1.7793,NORMAL_LOW,1,2026-09-07,RTH,-10.2500,-11.2500,11.0000,5.0000
3,LOW,2025-10-01,GLOBEX,-0.9893,NORMAL_LOW,-1.7767,NORMAL_LOW,2+,2025-10-01,RTH,10.7500,3.0000,36.7500,133.7500
3,LOW,2026-07-03,RTH,-1.3147,NORMAL_LOW,-1.7716,NORMAL_LOW,2+,2026-07-03,RTH,-0.2500,12.7500,15.0000,4.5000
5,HIGH,2026-07-03,RTH,-1.6978,NORMAL_LOW,-1.7663,NORMAL_LOW,2+,2026-07-06,GLOBEX,-3.0000,-3.5000,-4.7500,34.7500
3,HIGH,2026-07-03,RTH,-1.2885,NORMAL_LOW,-1.7596,NORMAL_LOW,2+,2026-07-06,GLOBEX,-2.5000,-3.5000,13.7500,-3.2500
3,LOW,2025-09-16,RTH,-1.4979,NORMAL_LOW,-1.7588,NORMAL_LOW,1,2025-09-16,RTH,11.2500,11.2500,8.2500,12.5000
3,LOW,2026-07-03,RTH,-1.4604,NORMAL_LOW,-1.7574,NORMAL_LOW,2+,2026-07-03,RTH,-3.7500,-12.7500,-19.2500,-20.0000
5,LOW,2025-10-02,RTH,-1.6990,NORMAL_LOW,-1.7546,NORMAL_LOW,0,2025-10-02,RTH,3.7500,21.5000,10.2500,39.2500
5,HIGH,2026-02-16,RTH,-1.9805,NORMAL_LOW,-1.7545,NORMAL_LOW,1,2026-02-16,RTH,-20.5000,-43.0000,-44.0000,-19.7500
5,LOW,2026-07-03,RTH,-1.9038,NORMAL_LOW,-1.7496,NORMAL_LOW,2+,2026-07-03,RTH,-11.5000,-4.5000,-5.7500,10.2500
5,LOW,2025-09-18,RTH,-1.9081,NORMAL_LOW,-1.7463,NORMAL_LOW,1,2025-09-18,RTH,-4.7500,-13.5000,9.5000,-1.7500
5,HIGH,2025-10-01,RTH,-1.8035,NORMAL_LOW,-1.7434,NORMAL_LOW,1,2025-10-01,GLOBEX,0.2500,-13.2500,-46.5000,-46.5000
5,LOW,2026-05-25,RTH,-2.1584,NORMAL_LOW,-1.7427,NORMAL_LOW,0,2026-05-25,RTH,2.7500,-1.2500,3.0000,-2.2500
5,LOW,2025-10-01,RTH,-1.8727,NORMAL_LOW,-1.7411,NORMAL_LOW,0,2025-10-01,GLOBEX,11.0000,21.0000,29.2500,64.5000
3,LOW,2026-07-03,RTH,-1.9038,NORMAL_LOW,-1.7361,NORMAL_LOW,2+,2026-07-03,RTH,-11.5000,-4.5000,-5.7500,10.2500
3,HIGH,2025-09-16,RTH,-1.0891,NORMAL_LOW,-1.7356,NORMAL_LOW,1,2025-09-16,GLOBEX,1.5000,-3.7500,-3.7500,-2.5000
3,HIGH,2025-09-18,RTH,-1.4025,NORMAL_LOW,-1.7334,NORMAL_LOW,1,2025-09-18,RTH,-17.7500,-23.0000,-4.2500,-2.5000
3,HIGH,2025-10-06,GLOBEX,-0.7683,NORMAL_LOW,-1.7328,NORMAL_LOW,0,2025-10-06,RTH,-7.5000,-0.5000,6.5000,-20.0000
3,HIGH,2025-09-18,RTH,-1.5252,NORMAL_LOW,-1.7315,NORMAL_LOW,0,2025-09-18,GLOBEX,-8.7500,-15.7500,-18.0000,-24.2500
3,HIGH,2026-09-07,RTH,-1.7830,NORMAL_LOW,-1.7290,NORMAL_LOW,2+,2026-09-07,RTH,7.2500,10.2500,13.5000,32.0000
3,LOW,2025-09-29,RTH,-2.0958,NORMAL_LOW,-1.7260,NORMAL_LOW,1,2025-09-29,RTH,-14.5000,-9.0000,-10.0000,-16.7500
