streakMin,volLabel,stopType,targetMult,holdMin,N,WR,EV,stopPct,targetPct,clustering
2,HIGH_VOL,0.75xATR,0.5,240,2929,51.08,-3.98,8.02,21.61,8.54
3,ANY_VOL,1.5xATR,0.75,240,4413,50.12,-4.16,0.43,6.84,6.03
1,ANY_VOL,ZONE,1,240,8253,37.74,-4.64,51.16,2.51,6.20
2,HIGH_VOL,ZONE,0.5,240,2929,40.59,-4.87,46.67,18.44,8.54
2,ANY_VOL,ZONE,0.5,240,6085,38.78,-4.98,50.39,13.77,5.85
1,HIGH_VOL,1.5xATR,0.5,240,4002,52.00,-4.99,0.67,21.84,8.67
3,ANY_VOL,1.5xATR,1,240,4413,49.97,-5.00,0.43,2.88,6.03
2,HIGH_VOL,0.75xATR,1,240,2929,48.86,-5.07,8.13,4.06,8.54
2,HIGH_VOL,0.75xATR,0.75,240,2929,49.13,-5.11,8.09,8.91,8.54
3,HIGH_VOL,0.75xATR,0.75,240,2136,48.83,-5.43,8.10,8.99,8.57
3,HIGH_VOL,0.75xATR,1,240,2136,48.55,-5.67,8.10,4.03,8.57
2,HIGH_VOL,1.5xATR,0.5,240,2929,51.83,-5.75,0.65,21.71,8.54
1,HIGH_VOL,1.5xATR,1,240,4002,49.90,-5.81,0.67,4.32,8.67
1,HIGH_VOL,ZONE,0.5,480,4002,36.01,-5.85,57.15,25.74,8.67
1,HIGH_VOL,1.5xATR,0.75,240,4002,50.17,-5.91,0.67,9.15,8.67
2,ANY_VOL,ZONE,0.75,240,6085,37.60,-5.93,50.99,5.59,5.85
2,HIGH_VOL,ZONE,1,240,2929,38.44,-5.94,47.73,3.48,8.54
3,ANY_VOL,ZONE,1.5,240,4413,37.30,-6.01,51.23,1.07,6.03
3,HIGH_VOL,0.75xATR,0.5,240,2136,50.37,-6.05,8.10,21.11,8.57
2,ANY_VOL,1.5xATR,0.5,480,6085,53.03,-6.12,1.97,29.27,5.85
2,HIGH_VOL,ZONE,0.75,240,2929,38.72,-6.36,47.59,7.58,8.54
3,HIGH_VOL,1.5xATR,0.75,240,2136,49.67,-6.42,0.56,8.99,8.57
2,ANY_VOL,ZONE,1,240,6085,37.45,-6.47,51.06,2.37,5.85
1,ANY_VOL,1.5xATR,0.5,480,8253,53.10,-6.50,2.08,29.27,6.20
1,ANY_VOL,ZONE,0.5,480,8253,33.31,-6.55,61.58,20.77,6.20
3,HIGH_VOL,1.5xATR,1,240,2136,49.39,-6.66,0.56,4.03,8.57
2,HIGH_VOL,1.5xATR,1,240,2929,49.61,-6.70,0.65,4.06,8.54
2,HIGH_VOL,1.5xATR,0.75,240,2929,49.88,-6.79,0.65,8.91,8.54
3,HIGH_VOL,1.5xATR,0.5,240,2136,51.22,-7.09,0.56,21.25,8.57
2,ANY_VOL,0.75xATR,0.5,480,6085,52.03,-7.35,13.38,28.59,5.85
1,ANY_VOL,0.75xATR,0.5,480,8253,52.15,-7.57,13.85,28.63,6.20
3,ANY_VOL,ZONE,0.5,240,4413,38.48,-7.65,50.65,13.17,6.03
2,ANY_VOL,ZONE,0.5,480,6085,33.15,-7.92,61.64,20.54,5.85
3,ANY_VOL,ZONE,0.75,240,4413,37.46,-7.99,51.19,5.48,6.03
3,HIGH_VOL,ZONE,1,240,2136,38.06,-8.16,47.66,3.51,8.57
3,HIGH_VOL,ZONE,0.5,240,2136,39.84,-8.33,46.77,17.84,8.57
2,ANY_VOL,1.5xATR,1.5,480,6085,48.64,-8.35,1.97,2.50,5.85
1,ANY_VOL,1.5xATR,1.5,480,8253,48.92,-8.48,2.11,2.45,6.20
3,HIGH_VOL,ZONE,0.75,240,2136,38.34,-8.48,47.57,7.68,8.57
1,ANY_VOL,ZONE,1.5,480,8253,29.58,-8.64,64.10,1.88,6.20
3,ANY_VOL,1.5xATR,0.5,480,4413,52.28,-8.98,1.90,28.48,6.03
3,ANY_VOL,ZONE,1,240,4413,37.30,-9.00,51.23,2.29,6.03
1,ANY_VOL,ZONE,0.75,480,8253,30.44,-9.31,63.75,10.58,6.20
1,ANY_VOL,0.75xATR,1.5,480,8253,47.97,-9.47,14.78,2.45,6.20
2,HIGH_VOL,ZONE,0.5,480,2929,35.68,-9.63,57.15,25.16,8.54
2,ANY_VOL,0.75xATR,1.5,480,6085,47.64,-9.78,14.31,2.50,5.85
1,ANY_VOL,1.5xATR,0.75,480,8253,49.96,-9.82,2.11,14.79,6.20
2,ANY_VOL,1.5xATR,0.75,480,6085,49.78,-10.19,1.97,14.74,5.85
3,ANY_VOL,ZONE,0.5,480,4413,32.61,-10.63,62.36,19.92,6.03
3,ANY_VOL,1.5xATR,1.5,480,4413,48.06,-10.69,1.90,2.31,6.03
3,ANY_VOL,0.75xATR,0.5,480,4413,51.26,-10.82,13.44,27.76,6.03
1,HIGH_VOL,ZONE,1.5,480,4002,30.26,-10.88,60.69,2.67,8.67
1,HIGH_VOL,ZONE,0.75,480,4002,31.68,-10.99,60.24,13.92,8.67
1,ANY_VOL,0.75xATR,0.75,480,8253,49.00,-11.21,14.62,14.39,6.20
2,ANY_VOL,ZONE,1.5,480,6085,29.24,-11.26,64.27,1.89,5.85
1,ANY_VOL,ZONE,1,480,8253,29.75,-11.55,64.06,5.30,6.20
2,ANY_VOL,0.75xATR,0.75,480,6085,48.76,-12.12,14.17,14.30,5.85
2,ANY_VOL,ZONE,0.75,480,6085,30.17,-12.14,63.93,10.30,5.85
3,ANY_VOL,1.5xATR,0.75,480,4413,49.17,-12.28,1.90,14.23,6.03
3,ANY_VOL,0.75xATR,1.5,480,4413,47.04,-12.41,14.12,2.31,6.03
2,ANY_VOL,1.5xATR,1,480,6085,48.82,-12.46,1.97,7.23,5.85
1,ANY_VOL,1.5xATR,1,480,8253,49.09,-12.50,2.11,7.15,6.20
1,ANY_VOL,0.75xATR,1,480,8253,48.14,-13.51,14.78,7.11,6.20
2,ANY_VOL,0.75xATR,1,480,6085,47.82,-13.91,14.31,7.20,5.85
3,HIGH_VOL,ZONE,0.5,480,2136,34.69,-14.04,58.10,24.67,8.57
1,HIGH_VOL,ZONE,1,480,4002,30.58,-14.11,60.62,7.40,8.67
2,ANY_VOL,ZONE,1,480,6085,29.42,-14.14,64.24,5.24,5.85
3,ANY_VOL,ZONE,0.75,480,4413,29.80,-14.26,64.40,9.81,6.03
3,ANY_VOL,ZONE,1.5,480,4413,28.87,-14.51,64.76,1.72,6.03
3,ANY_VOL,0.75xATR,0.75,480,4413,48.15,-14.69,14.00,13.78,6.03
1,HIGH_VOL,1.5xATR,0.5,480,4002,52.17,-14.73,2.25,33.68,8.67
3,ANY_VOL,1.5xATR,1,480,4413,48.24,-14.82,1.90,6.84,6.03
2,HIGH_VOL,ZONE,1.5,480,2929,29.67,-15.77,60.84,2.73,8.54
2,HIGH_VOL,ZONE,0.75,480,2929,31.27,-15.95,60.40,13.45,8.54
1,HIGH_VOL,0.75xATR,0.5,480,4002,51.12,-16.49,16.39,32.88,8.67
3,ANY_VOL,0.75xATR,1,480,4413,47.22,-16.55,14.12,6.82,6.03
3,ANY_VOL,ZONE,1,480,4413,29.05,-17.09,64.72,4.87,6.03
2,HIGH_VOL,1.5xATR,0.5,480,2929,51.96,-17.24,2.01,33.25,8.54
1,HIGH_VOL,1.5xATR,1.5,480,4002,46.10,-17.26,2.27,3.22,8.67
2,HIGH_VOL,1.5xATR,1.5,480,2929,45.65,-18.28,2.01,3.35,8.54
1,HIGH_VOL,0.75xATR,1.5,480,4002,45.03,-18.82,17.62,3.22,8.67
2,HIGH_VOL,ZONE,1,480,2929,30.01,-18.91,60.77,7.34,8.54
2,HIGH_VOL,0.75xATR,0.5,480,2929,50.80,-19.17,16.22,32.37,8.54
1,HIGH_VOL,1.5xATR,0.75,480,4002,47.65,-19.37,2.27,18.29,8.67
3,HIGH_VOL,ZONE,0.75,480,2136,30.57,-19.41,60.86,12.92,8.57
3,HIGH_VOL,ZONE,1.5,480,2136,28.93,-19.66,61.38,2.67,8.57
3,HIGH_VOL,1.5xATR,1.5,480,2136,44.94,-19.73,1.78,3.18,8.57
3,HIGH_VOL,1.5xATR,0.5,480,2136,51.08,-20.49,1.78,32.77,8.57
2,HIGH_VOL,0.75xATR,1.5,480,2929,44.45,-20.54,17.34,3.35,8.54
2,HIGH_VOL,1.5xATR,0.75,480,2929,47.42,-20.84,2.01,18.23,8.54
3,HIGH_VOL,1.5xATR,0.75,480,2136,46.82,-21.35,1.78,17.98,8.57
1,HIGH_VOL,0.75xATR,0.75,480,4002,46.58,-21.64,17.39,17.62,8.67
1,HIGH_VOL,1.5xATR,1,480,4002,46.43,-21.71,2.27,9.45,8.67
3,HIGH_VOL,0.75xATR,1.5,480,2136,43.73,-22.26,17.09,3.18,8.57
3,HIGH_VOL,ZONE,1,480,2136,29.31,-22.72,61.28,6.98,8.57
2,HIGH_VOL,1.5xATR,1,480,2929,45.99,-23.09,2.01,9.59,8.54
3,HIGH_VOL,0.75xATR,0.5,480,2136,49.86,-23.11,16.39,31.84,8.57
1,HIGH_VOL,0.75xATR,1,480,4002,45.35,-23.32,17.62,9.37,8.67
2,HIGH_VOL,0.75xATR,0.75,480,2929,46.23,-23.91,17.14,17.45,8.54
3,HIGH_VOL,1.5xATR,1,480,2136,45.32,-24.50,1.78,9.18,8.57
3,HIGH_VOL,0.75xATR,0.75,480,2136,45.60,-25.10,16.90,17.13,8.57
2,HIGH_VOL,0.75xATR,1,480,2929,44.79,-25.37,17.34,9.53,8.54
3,HIGH_VOL,0.75xATR,1,480,2136,44.10,-27.05,17.09,9.13,8.57
