threshold,pivotType,pivotPrice,entryTime,direction,entryPrice,stopPrice,streak,isGlobex,fwd30,fwd60,fwd120,fwd240
1.5,LOW,29923,2026-06-23 04:05:00,SHORT,29891.5,29962.976,0,true,40.75,23.50,-4.25,26.50
1.5,LOW,29264.75,2026-06-25 23:10:00,SHORT,29252.75,29335.54925,0,true,36.25,-116.00,-50.00,-200.50
1.5,HIGH,30263.75,2026-06-30 10:05:00,LONG,30334.25,30188.3725,1,false,80.25,34.50,153.25,184.75
1.5,LOW,29160.5,2026-07-08 04:35:00,SHORT,28980.25,29301.1275,0,true,-0.75,-21.00,-71.25,-170.75
1.5,LOW,28909.75,2026-07-17 00:10:00,SHORT,28850,28951.7425,3,true,59.50,42.25,105.50,171.50
1.5,HIGH,30077.75,2026-08-13 10:00:00,LONG,30177,29995.38625,3,false,59.75,41.50,-47.50,27.75
1.5,LOW,29303.5,2026-07-16 13:45:00,SHORT,29257.25,29354.7365,5,false,28.75,22.50,136.50,114.25
1.5,HIGH,30062.5,2026-08-13 09:55:00,LONG,30176,29985.973,2,false,37.00,28.25,-53.25,32.75
1.5,LOW,28408.25,2026-07-24 10:25:00,SHORT,28391,28460.796,1,false,13.25,-138.50,-200.00,24.00
1.5,HIGH,29364.75,2026-08-04 09:45:00,LONG,29460,29198.1755,1,false,76.25,86.75,224.25,420.25
1.5,LOW,27409.25,2026-07-29 16:05:00,SHORT,27255,27509.2425,0,false,-18.75,-129.50,-222.75,-344.00
1.5,HIGH,28099.5,2026-07-30 10:25:00,LONG,28226,28058.0075,1,false,-171.75,-188.50,-76.25,-45.25
1.5,HIGH,30074,2026-08-13 10:00:00,LONG,30177,29995.32775,0,false,59.75,41.50,-47.50,27.75
1.5,LOW,29241.25,2026-08-24 01:55:00,SHORT,29200.75,29276.4375,4,true,29.50,27.00,57.25,-33.00
2,LOW,23025.25,2026-03-30 20:25:00,SHORT,23011.75,23063.54025,5,true,-193.50,-281.00,-326.00,-292.00
2,HIGH,25640.25,2025-10-24 08:45:00,LONG,25720,25608.84625,1,false,68.25,53.00,76.50,372.00
2,LOW,24400,2025-11-20 12:55:00,SHORT,24395,24460.33575,2,false,-98.00,139.00,32.50,309.75
2,HIGH,25280,2025-10-15 10:15:00,LONG,25319,25258.9295,0,false,-105.00,-134.00,-168.00,26.00
2,LOW,24660,2025-11-20 12:05:00,SHORT,24533.5,24807.6505,2,false,198.50,74.00,276.25,408.00
2,HIGH,25417,2025-10-20 09:50:00,LONG,25466.75,25395.92625,0,false,95.25,117.25,68.75,98.25
2,LOW,24646,2025-11-20 12:05:00,SHORT,24533.5,24808.64175,1,false,198.50,74.00,276.25,408.00
2,HIGH,26670,2026-04-17 09:00:00,LONG,26729.25,26596.0615,0,false,-41.00,20.00,96.25,133.50
2,LOW,24960.75,2025-11-14 08:40:00,SHORT,24928,24983.74825,1,false,-167.75,-265.75,-565.25,-506.00
2,HIGH,26092,2026-01-27 15:20:00,LONG,26102.5,26071.526,7,false,-15.25,-0.75,30.00,117.25
2,LOW,24898.75,2025-11-18 02:10:00,SHORT,24886.25,24934.5025,2,true,-162.00,-93.75,141.25,-148.25
2,HIGH,25619.75,2025-12-02 10:15:00,LONG,25627.75,25588.7285,0,false,-5.25,-95.25,-74.25,-20.75
2,LOW,23904.5,2026-03-23 02:50:00,SHORT,23867.5,23936.626,1,true,10.00,20.50,-64.50,-29.00
2,HIGH,25870.75,2025-12-25 18:35:00,LONG,25885.25,25842.87275,0,true,9.75,17.50,15.00,4.00
2,LOW,24887.75,2026-02-04 12:45:00,SHORT,24809.75,24990.82325,0,false,-39.00,-63.50,-213.50,-334.25
2,HIGH,25935.25,2026-01-07 11:55:00,LONG,25970.25,25900.48725,0,false,11.75,1.00,-11.50,-145.50
2,LOW,25265.25,2026-01-20 03:20:00,SHORT,25251.5,25293.415,9,true,37.75,92.25,72.25,30.75
2,HIGH,26045.5,2026-01-27 10:10:00,LONG,26059.75,26030.8835,2,false,24.25,37.50,15.25,16.75
