date,session,swing_width,type,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2026-06-19,RTH,5,HIGH,2,0.20,-2.5820,-2.0601,-1.0175,-0.2304,-1.8459,-2.3296,-5.4234,1,30686.75,30675.75,30902.56,31075.63,0,0,1,1,0,-11.00,-11.00,-24.00,-24.00
2026-05-25,RTH,5,LOW,6,0.22,-2.1935,-1.7184,-1.6259,-0.2304,-1.6116,-1.9490,-5.4169,1,29942.25,29943.50,29791.98,29671.48,0,0,1,1,0,-1.25,-1.25,-4.50,-4.50
2026-06-19,RTH,3,HIGH,2,0.17,-2.5820,-2.0423,-1.0175,-0.2305,-1.8459,-2.3097,-5.4035,1,30686.75,30675.75,30902.56,31075.63,0,0,1,1,0,-11.00,-11.00,-24.00,-24.00
2026-09-07,RTH,5,LOW,3,0.33,-2.4248,-1.8865,-1.2837,-0.2302,-1.7511,-2.1362,-5.4012,1,29592.25,29600.00,29479.26,29388.65,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2026-06-19,RTH,3,LOW,3,5.17,-2.0586,-2.0833,-1.2837,-0.2237,-1.5303,-2.3555,-5.3932,1,30647.00,30653.25,30431.19,30258.12,1,0,0,1,0,215.81,-6.25,429.63,-14.50
2026-09-07,RTH,3,LOW,3,0.23,-2.4248,-1.8758,-1.2837,-0.2304,-1.7511,-2.1243,-5.3894,1,29592.25,29600.00,29479.26,29388.65,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2026-09-07,GLOBEX,3,LOW,1,2.90,-2.0525,-2.7895,-0.4851,-0.2268,-1.5266,-3.1420,-5.3806,1,29606.00,29607.75,29493.01,29402.40,0,0,1,1,0,-1.75,-1.75,-5.50,-5.50
2026-09-07,RTH,3,HIGH,1,0.25,-2.8006,-2.3737,-0.4851,-0.2303,-1.9776,-2.6789,-5.3720,1,29635.25,29635.00,29748.24,29838.85,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
2026-06-19,RTH,3,HIGH,2,0.12,-2.3972,-2.0976,-1.0175,-0.2305,-1.7345,-2.3713,-5.3538,1,30686.75,30679.50,30902.56,31075.63,0,0,1,1,0,-7.25,-7.25,-16.50,-16.50
2026-05-25,RTH,5,LOW,4,1.68,-1.8922,-1.9787,-1.4434,-0.2284,-1.4300,-2.2390,-5.3407,1,29947.00,29947.75,29796.73,29676.23,0,0,1,1,0,-0.75,-0.75,-3.50,-3.50
2026-07-05,RTH,3,HIGH,6,0.12,-1.7327,-1.8953,-1.6259,-0.2305,-1.3338,-2.1461,-5.3363,1,29932.75,29924.25,30180.76,30379.64,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2026-09-07,RTH,5,HIGH,1,0.28,-2.8006,-2.3248,-0.4851,-0.2303,-1.9776,-2.6244,-5.3175,1,29635.25,29635.00,29748.24,29838.85,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
2026-06-19,RTH,3,HIGH,2,0.22,-2.1036,-2.2059,-1.0175,-0.2304,-1.5574,-2.4920,-5.2973,1,30686.75,30680.00,30902.56,31075.63,0,0,1,1,0,-6.75,-6.75,-15.50,-15.50
2026-05-25,RTH,3,LOW,4,1.65,-1.8922,-1.9312,-1.4434,-0.2285,-1.4300,-2.1861,-5.2879,1,29947.00,29947.75,29796.73,29676.23,0,0,1,1,0,-0.75,-0.75,-3.50,-3.50
2026-07-05,RTH,5,HIGH,2,27.52,-2.3354,-2.1005,-1.0175,-0.1937,-1.6972,-2.3746,-5.2830,1,29956.25,29955.25,30204.26,30403.14,0,0,1,1,0,-1.00,-1.00,-4.00,-4.00
2026-07-03,RTH,5,HIGH,7,0.22,-1.9522,-1.6772,-1.6829,-0.2304,-1.4662,-1.9032,-5.2827,1,29922.50,29914.25,30192.36,30408.76,0,0,1,1,0,-8.25,-8.25,-18.50,-18.50
2026-06-19,RTH,5,LOW,3,5.20,-2.0586,-1.9787,-1.2837,-0.2237,-1.5303,-2.2390,-5.2766,1,30647.00,30653.25,30431.19,30258.12,1,0,0,1,0,215.81,-6.25,429.63,-14.50
2026-09-07,RTH,5,HIGH,4,11.48,-1.7881,-1.9875,-1.4434,-0.2153,-1.3672,-2.2488,-5.2746,1,29598.75,29594.75,29711.74,29802.35,0,0,1,1,0,-4.00,-4.00,-10.00,-10.00
2026-07-03,RTH,3,HIGH,6,0.25,-2.0563,-1.6645,-1.6259,-0.2303,-1.5289,-1.8889,-5.2741,1,29921.50,29918.50,30191.36,30407.76,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-07-03,RTH,3,HIGH,7,0.18,-1.9522,-1.6381,-1.6829,-0.2304,-1.4662,-1.8595,-5.2391,1,29922.50,29914.25,30192.36,30408.76,0,0,1,1,0,-8.25,-8.25,-18.50,-18.50
2026-06-19,RTH,5,HIGH,2,0.25,-2.1036,-2.1534,-1.0175,-0.2303,-1.5574,-2.4335,-5.2388,1,30686.75,30680.00,30902.56,31075.63,0,0,1,1,0,-6.75,-6.75,-15.50,-15.50
2026-06-19,RTH,5,LOW,3,0.32,-1.7871,-2.0835,-1.2837,-0.2303,-1.3667,-2.3557,-5.2363,1,30647.00,30648.00,30431.19,30258.12,1,0,0,1,0,215.81,-1.00,429.63,-4.00
2026-09-07,RTH,3,HIGH,1,0.15,-2.3854,-2.4761,-0.4851,-0.2305,-1.7273,-2.7929,-5.2358,1,29634.75,29629.50,29747.74,29838.35,0,0,1,1,0,-5.25,-5.25,-12.50,-12.50
2026-09-07,RTH,3,LOW,1,4.52,-2.4483,-2.4392,-0.4851,-0.2246,-1.7652,-2.7518,-5.2268,1,29615.00,29618.50,29502.01,29411.40,0,0,1,1,0,-3.50,-3.50,-9.00,-9.00
2026-05-25,RTH,3,LOW,2,1.78,-2.0283,-2.1673,-1.0175,-0.2283,-1.5120,-2.4491,-5.2068,1,29964.75,29968.50,29814.48,29693.98,0,0,1,1,0,-3.75,-3.75,-9.50,-9.50
2026-09-07,RTH,5,HIGH,1,0.18,-2.3854,-2.4366,-0.4851,-0.2304,-1.7273,-2.7489,-5.1918,1,29634.75,29629.50,29747.74,29838.35,0,0,1,1,0,-5.25,-5.25,-12.50,-12.50
2026-07-03,RTH,3,HIGH,7,0.12,-1.8362,-1.6573,-1.6829,-0.2305,-1.3962,-1.8810,-5.1907,1,29916.75,29913.00,30186.61,30403.01,0,0,1,1,0,-3.75,-3.75,-9.50,-9.50
2026-09-07,RTH,3,LOW,2,0.20,-1.9322,-2.2011,-1.0175,-0.2304,-1.4541,-2.4867,-5.1887,1,29592.25,29601.25,29479.26,29388.65,0,0,1,1,0,-9.00,-9.00,-20.00,-20.00
2026-06-19,RTH,3,LOW,3,0.13,-1.7871,-2.0381,-1.2837,-0.2305,-1.3667,-2.3051,-5.1859,1,30647.00,30648.00,30431.19,30258.12,1,0,0,1,0,215.81,-1.00,429.63,-4.00
2026-07-05,RTH,5,HIGH,6,0.45,-1.6978,-1.7663,-1.6259,-0.2301,-1.3128,-2.0024,-5.1711,1,29932.75,29925.00,30180.76,30379.64,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2026-07-03,RTH,5,HIGH,7,0.33,-1.8362,-1.6351,-1.6829,-0.2302,-1.3962,-1.8562,-5.1656,1,29916.75,29913.00,30186.61,30403.01,0,0,1,1,0,-3.75,-3.75,-9.50,-9.50
2026-09-07,RTH,3,LOW,2,0.12,-2.0704,-2.0962,-1.0175,-0.2305,-1.5374,-2.3698,-5.1552,1,29592.25,29602.50,29479.26,29388.65,0,0,1,1,0,-10.25,-10.25,-22.50,-22.50
2026-07-03,RTH,3,LOW,4,0.15,-2.0799,-1.6926,-1.4434,-0.2305,-1.5432,-1.9203,-5.1373,1,29902.25,29904.75,29632.39,29415.99,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-09-07,RTH,5,LOW,2,0.23,-1.9322,-2.1509,-1.0175,-0.2304,-1.4541,-2.4308,-5.1328,1,29592.25,29601.25,29479.26,29388.65,0,0,1,1,0,-9.00,-9.00,-20.00,-20.00
2026-07-03,RTH,5,LOW,3,0.68,-1.7796,-1.9835,-1.2837,-0.2298,-1.3621,-2.2443,-5.1198,1,29890.00,29895.25,29620.14,29403.74,0,0,1,1,0,-5.25,-5.25,-12.50,-12.50
2026-06-19,RTH,3,LOW,3,0.20,-2.0638,-1.8225,-1.2837,-0.2304,-1.5334,-2.0650,-5.1125,1,30653.50,30656.00,30437.69,30264.62,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-07-03,RTH,5,LOW,4,0.18,-2.0799,-1.6645,-1.4434,-0.2304,-1.5432,-1.8889,-5.1059,1,29902.25,29904.75,29632.39,29415.99,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-07-03,RTH,5,LOW,4,0.23,-1.9038,-1.7496,-1.4434,-0.2304,-1.4370,-1.9838,-5.0945,1,29899.25,29899.50,29629.39,29412.99,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
2026-07-03,RTH,3,LOW,4,0.20,-1.9038,-1.7361,-1.4434,-0.2304,-1.4370,-1.9687,-5.0795,1,29899.25,29899.50,29629.39,29412.99,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
2026-07-03,RTH,3,LOW,7,1.08,-1.4604,-1.7574,-1.6829,-0.2292,-1.1697,-1.9925,-5.0743,1,29909.00,29914.00,29639.14,29422.74,0,0,1,1,0,-5.00,-5.00,-12.00,-12.00
